"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Chestnut-backed Laughingthrush","Garrulax nuchalis","X","","","0.19","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","NT"
"Greater Necklaced Laughingthrush","Garrulax pectoralis","","","1.79±29.2","9.49±0.13","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-necked Laughingthrush","Garrulax ruficollis","","","29.51±80.16","8.86±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-chinned Laughingthrush","Garrulax rufogularis","X","","25.85±36.45","6.08±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Eurasian Jay","Garrulus glandarius","","","-2.85±12.82","8.18±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-headed Jay","Garrulus lanceolatus","X","-19.94±59.34","0.83±13.06","9.07±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Pale-headed Woodpecker","Gecinulus grantia","","","","5.16±0.16","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Common Gull-billed Tern","Gelochelidon nilotica","","-69.13±13.95","3.03±8.56","3.64±0.05","Strong Decline","Uncertain","Restricted","High","Schedule-IV","LC"
"Orange-headed Thrush","Geokichla citrina","","-51.76±14.04","-1.32±4.84","25.79±0.06","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Pied Thrush","Geokichla wardii","X","","","1.01±0.13","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Little Pratincole","Glareola lactea","","-68.93±9.38","-4.24±4.8","73.05±0.11","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Oriental Pratincole","Glareola maldivarum","","","-10.73±14.52","3.42±0.06","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Collared Owlet","Glaucidium brodiei","","39.33±96.06","-7.47±8.95","16.08±0.08","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Asian Barred Owlet","Glaucidium cuculoides","","23.7±44.89","-1.73±5.29","25.41±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Jungle Owlet","Glaucidium radiatum","X","-9.38±25.58","0.85±4.99","61.25±0.07","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
