"Common.Name","Scientific.Name","Endemic.Near.Endemic","Long.Term.Trend","Current.Annual.Change","Range.Size","Long.Term.Status","Current.Status","Range.Status","Concern.Status","WLPA.Schedule","IUCN"
"Blackish-breasted Babbler","Stachyris humei","X","","","0.61±0.06","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","NT"
"Snowy-throated Babbler","Stachyris oglei","X","","","0.15","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","VU"
"Chevron-breasted Babbler","Stachyris roberti","X","","","1.09±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","NT"
"Black-bellied Tern","Sterna acuticauda","","","","4.16±0.07","Data Deficient","Data Deficient","Restricted","High","Schedule-IV","EN"
"River Tern","Sterna aurantia","","-41.21±13.43","-5.24±3.35","125.33±0.09","Moderate Decline","Moderate Decline","Very Large","Moderate","Schedule-IV","NT"
"Common Tern","Sterna hirundo","","","0.81±16.87","8.07±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Little Tern","Sternula albifrons","","-75.36±17.38","-5.86±10.38","5.86±0.08","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Eurasian Collared-dove","Streptopelia decaocto","","-6.99±16.15","2.74±3.23","188.12±0.08","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Oriental Turtle-dove","Streptopelia orientalis","","-26.19±24.26","1.6±6.15","23.24±0.06","Stable","Uncertain","Moderate","Low","Schedule-IV","LC"
"Red Turtle-dove","Streptopelia tranquebarica","","-54.33±11.09","-3.66±3.82","122.02±0.1","Moderate Decline","Uncertain","Very Large","Moderate","Schedule-IV","LC"
"White-headed Starling","Sturnia erythropygia","X","","-2.87±7.94","0.5±0","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Chestnut-tailed Starling","Sturnia malabarica","","12.56±28.94","-0.39±4.44","102.62±0.1","Uncertain","Uncertain","Very Large","Low","Schedule-IV","LC"
"Brahminy Starling","Sturnia pagodarum","","-1.04±18.1","1.56±3.41","174.83±0.08","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"Common Starling","Sturnus vulgaris","","-64.67±36.53","-14.34±11.04","13.04±0.13","Moderate Decline","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Fork-tailed Drongo-cuckoo","Surniculus dicruroides","","","-5.54±16.88","5±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Square-tailed Drongo-cuckoo","Surniculus lugubris","","","1.51±30.16","7.32±0.12","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-throated Parrotbill","Suthora nipalensis","","","","4.75±0.11","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Eastern Orphean Warbler","Sylvia crassirostris","","","-5.48±23.27","11.99±0.11","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Lesser Whitethroat","Sylvia curruca","","-47.62±30.3","2.74±11.45","80.27±0.09","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Yellow-browed Tit","Sylviparus modestus","","-63.52±35.24","-0.49±16.38","7.54±0.06","Moderate Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Lesser Florican","Sypheotides indicus","X","","","3.03±0.06","Data Deficient","Data Deficient","Restricted","High","Schedule-I","EN"
"Tibetan Sandgrouse","Syrrhaptes tibetanus","","","","2.64±0.14","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Sirkeer Malkoha","Taccocua leschenaultii","X","-70.93±9.39","-5.07±4.71","58.18±0.12","Strong Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Little Grebe","Tachybaptus ruficollis","","-15.39±14.54","-7.35±2.2","164.06±0.1","Stable","Strong Decline","Very Large","Low","Schedule-IV","LC"
"Alpine Swift","Tachymarptis melba","","-45.71±21.18","1.1±7.2","14.94±0.1","Stable","Uncertain","Moderate","Low","Schedule-IV","LC"
"Ruddy Shelduck","Tadorna ferruginea","","-0.91±65.32","-2.31±11.36","73.17±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Golden Bush-robin","Tarsiger chrysaeus","","","-0.02±48.16","9.93±0.1","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-breasted Bush-robin","Tarsiger hyperythrus","X","","","2.7±0.07","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Himalayan Bush-robin","Tarsiger rufilatus","","-27.4±54.72","8.4±16.9","14.8±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Common Woodshrike","Tephrodornis pondicerianus","","-62.1±6.99","-5.85±2.67","135.05±0.12","Strong Decline","Strong Decline","Very Large","High","Schedule-IV","LC"
"Malabar Woodshrike","Tephrodornis sylvicola","X","-68.91±14.71","-3.96±7.3","9.07±0.04","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Large Woodshrike","Tephrodornis virgatus","","-7.68±79.32","2.69±17.35","14.59±0.09","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Indian Paradise-flycatcher","Terpsiphone paradisi","","-20.21±16.66","-1.93±3.38","54.31±0.09","Stable","Uncertain","Large","Low","Schedule-IV","LC"
"Grey-bellied Tesia","Tesia cyaniventer","","","-10.35±26.75","9.03±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Slaty-bellied Tesia","Tesia olivea","","","-6.28±17.54","4.72±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Himalayan Snowcock","Tetraogallus himalayensis","X","","","5.37±0.09","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Lesser Crested Tern","Thalasseus bengalensis","","","11.64±49.88","9.26±0.04","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Greater Crested Tern","Thalasseus bergii","","","24.16±20.42","8.87±0.04","Data Deficient","Strong Increase","Moderate","Low","Schedule-IV","LC"
"Black-headed Ibis","Threskiornis melanocephalus","","79.94±37.1","-2.39±3.06","137.23±0.08","Moderate Increase","Uncertain","Very Large","Low","Schedule-IV","NT"
"Wallcreeper","Tichodroma muraria","","-23.04±343.98","-2.97±78.57","15.07±0.13","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Broad-billed Warbler","Tickellia hodgsoni","X","","2.61±24.79","3.23±0.11","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Chestnut-capped Babbler","Timalia pileata","","","10.69±83.4","7.82±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Collared Kingfisher","Todiramphus chloris","","","1.08±20.3","2.43±0.04","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Blyth's Tragopan","Tragopan blythii","X","","","1.21±0.08","Data Deficient","Data Deficient","Restricted","High","Schedule-I","VU"
"Western Tragopan","Tragopan melanocephalus","X","","","0.31","Data Deficient","Data Deficient","Very Restricted","High","Schedule-I","VU"
"Satyr Tragopan","Tragopan satyra","X","","","1.65±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-I","NT"
"Grey-fronted Green-pigeon","Treron affinis","X","-50.77±28.17","-5.87±8.64","14.34±0.04","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Pin-tailed Green-pigeon","Treron apicauda","","","-1.1±41.97","8.24±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Orange-breasted Green-pigeon","Treron bicinctus","","","-8.13±9.58","21.24±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Andaman Green-pigeon","Treron chloropterus","X","","-10.81±6.67","0.62±0.03","Data Deficient","Strong Decline","Restricted","High","Schedule-IV","NT"
"Yellow-footed Green-pigeon","Treron phoenicopterus","","74.66±41.49","2.33±4.09","129.03±0.09","Moderate Increase","Uncertain","Very Large","Low","Schedule-IV","LC"
"Wedge-tailed Green-pigeon","Treron sphenurus","","","3.83±13.19","16.5±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Spotted Redshank","Tringa erythropus","","-57.59±33.41","2.98±15.37","35.81±0.08","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Wood Sandpiper","Tringa glareola","","-31.71±14.19","-4.42±3.04","116.86±0.09","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"Common Greenshank","Tringa nebularia","","-62.22±9.26","-5.27±3.8","91.76±0.1","Strong Decline","Moderate Decline","Large","High","Schedule-IV","LC"
"Green Sandpiper","Tringa ochropus","","-49.55±10.57","-1.49±3.55","134.96±0.13","Moderate Decline","Uncertain","Very Large","Moderate","Schedule-IV","LC"
"Marsh Sandpiper","Tringa stagnatilis","","-57.96±16.08","-3.57±5.83","33.16","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Common Redshank","Tringa totanus","","-62.14±12.25","-5.07±4.85","56.19±0.07","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Brown-capped Laughingthrush","Trochalopteron austeni","X","","","0.25","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","LC"
"Assam Laughingthrush","Trochalopteron chrysopterum","X","","","2.34±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Chestnut-crowned Laughingthrush","Trochalopteron erythrocephalum","X","32.45±109.65","-10.05±10.13","9±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Bhutan Laughingthrush","Trochalopteron imbricatum","X","","-0.9±27.01","0.8±0.07","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Streaked Laughingthrush","Trochalopteron lineatum","X","27.13±86.41","0.69±11.8","15.64±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Blue-winged Laughingthrush","Trochalopteron squamatum","X","","","3.79±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Scaly Laughingthrush","Trochalopteron subunicolor","","","-2.28±21.27","2.1±0.06","Data Deficient","Uncertain","Restricted","Moderate","Schedule-IV","LC"
"Variegated Laughingthrush","Trochalopteron variegatum","X","","-8.84±14.69","10.06±0.05","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Striped Laughingthrush","Trochalopteron virgatum","X","","","1.28±0.08","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Northern Wren","Troglodytes troglodytes","","","-9.79±14.26","13.24±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Yellow-billed Babbler","Turdoides affinis","X","-0.35±32.61","2.13±6.21","47.93±0.05","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Jungle Babbler","Turdoides striata","X","-1.6±15.66","-1.91±2.63","170.67±0.07","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
"White-collared Blackbird","Turdus albocinctus","X","","1.94±43.57","8.62±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grey-winged Blackbird","Turdus boulboul","","-33.61±39.55","-0.41±10.6","16.61±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Tibetan Blackbird","Turdus maximus","X","","","0.99±0.26","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Indian Blackbird","Turdus simillimus","X","-26.27±35.88","5.86±10.85","10.65±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Tickell's Thrush","Turdus unicolor","X","-48.15±64.84","0.63±24.24","5.72±0.07","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Mistle Thrush","Turdus viscivorus","","","-9.35±11.44","8.87±0.07","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Barred Buttonquail","Turnix suscitator","","2.41±35.91","4.04±6.47","79.34±0.13","Uncertain","Uncertain","Large","Low","Schedule-IV","LC"
"Yellow-legged Buttonquail","Turnix tanki","","","","20.98±0.2","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Common Hoopoe","Upupa epops","","-41.05±9.13","-2.06±2.54","60.3±0.09","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Red-billed Blue Magpie","Urocissa erythroryncha","","-18.19±52.69","-0.29±10.82","12.18±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Yellow-billed Blue Magpie","Urocissa flavirostris","X","21.93±87.28","-1.38±12.14","14.47±0.05","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Grey-headed Lapwing","Vanellus cinereus","","10.09±109.43","-11.02±11.25","16.47±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"River Lapwing","Vanellus duvaucelii","","-26.79±26.27","-3.02±5.9","38.09±0.08","Uncertain","Uncertain","Large","Moderate","Schedule-IV","NT"
"Sociable Lapwing","Vanellus gregarius","","","","0.52±0.07","Data Deficient","Data Deficient","Very Restricted","High","Schedule-IV","CR"
"Red-wattled Lapwing","Vanellus indicus","","6±12.26","-2.95±1.72","203±0.07","Stable","Moderate Decline","Very Large","Low","Schedule-IV","LC"
"White-tailed Lapwing","Vanellus leucurus","","-51.38±31.24","-11.08±7.67","18.21±0.11","Uncertain","Strong Decline","Moderate","Moderate","Schedule-IV","LC"
"Yellow-wattled Lapwing","Vanellus malabaricus","X","-47.44±10.87","-5.9±2.92","121.26±0.1","Moderate Decline","Strong Decline","Very Large","Moderate","Schedule-IV","LC"
"Northern Lapwing","Vanellus vanellus","","","6.02±20.63","6.72±0.07","Data Deficient","Uncertain","Moderate","Moderate","Schedule-IV","NT"
"Terek Sandpiper","Xenus cinereus","","","-8.2±21.21","5.55±0.04","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-naped Yuhina","Yuhina bakeri","X","","","4.4±0.06","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Striated Yuhina","Yuhina castaniceps","","","","6.51±0.09","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Whiskered Yuhina","Yuhina flavicollis","","9.26±59.33","-3.54±8.24","17.22±0.06","Uncertain","Uncertain","Moderate","Low","Schedule-IV","LC"
"Stripe-throated Yuhina","Yuhina gularis","","","-5.56±83.74","6.33±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Black-chinned Yuhina","Yuhina nigrimenta","","","2.32±38.21","7.41±0.06","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Rufous-vented Yuhina","Yuhina occipitalis","X","","","3.62±0.09","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Brown Crake","Zapornia akool","","-57.75±18.8","-3.53±6.65","35.89±0.1","Moderate Decline","Uncertain","Large","Moderate","Schedule-IV","LC"
"Black-tailed Crake","Zapornia bicolor","","","","2.63±0.06","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Ruddy-breasted Crake","Zapornia fusca","","","1.64±8.59","35.76±0.1","Data Deficient","Uncertain","Large","Low","Schedule-IV","LC"
"Baillon's Crake","Zapornia pusilla","","","17.67±27.43","14.92±0.08","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"White-rumped Spinetail","Zoonavena sylvatica","X","-76.53±11.24","-6.19±6.71","23.46±0.07","Strong Decline","Uncertain","Moderate","Moderate","Schedule-IV","LC"
"Scaly Thrush","Zoothera dauma","","","23.92±40.5","16.1±0.29","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Long-tailed Thrush","Zoothera dixoni","","","","5.51±0.17","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Dark-sided Thrush","Zoothera marginata","X","","","2.72±0.19","Data Deficient","Data Deficient","Restricted","Moderate","Schedule-IV","LC"
"Alpine Thrush","Zoothera mollissima","","","","5.47±0.08","Data Deficient","Data Deficient","Moderate","Moderate","Schedule-IV","LC"
"Long-billed Thrush","Zoothera monticola","X","","-4.54±42.61","6.61±0.09","Data Deficient","Uncertain","Moderate","Low","Schedule-IV","LC"
"Indian White-eye","Zosterops palpebrosus","","-9.09±15.91","1.29±3.12","143.44±0.08","Stable","Uncertain","Very Large","Low","Schedule-IV","LC"
