eBird English Name,eBird Scientific Name,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Breeding Period,Ground Nester (Open),Ground Nester (Concealed),Canopy Nester,mid story/Shrub/thicket nester,Earthen Cavity nester,Tree Cavity Nester,Cliff Nester,Nest in urban structures,Nest in urban gardens,Area of distribution range (sq. km.),Remarks
Andaman Masked-Owl,Tyto deroepstorffi,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,,,,,,,,,,,,,,,,,,,,,,,,
Barn Owl,Tyto alba,10,80,10,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,10,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Brown Boobook,Ninox scutulata,60,20,20,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,30,0,20,20,30,0,Ref_5,1,Christian,,,,,,,,,,,,
Hume's Boobook,Ninox obscura,60,20,20,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,,,,,,,,,,,,,,,,,,,,,,,,
Andaman Boobook,Ninox affinis,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,C,Hamish,0,0,20,20,20,20,20,0,Ref_5,1,Other,,,,,,,,,,,,
Collared Owlet,Glaucidium brodiei,30,40,30,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,70,10,20,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Asian Barred Owlet,Glaucidium cuculoides,60,20,20,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,50,20,10,10,10,0,Ref_5,1,Christian,,,,,,,,,,,,
Jungle Owlet,Glaucidium radiatum,60,20,20,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Spotted Owlet,Athene brama,70,20,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,60,10,30,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Little Owl,Athene noctua,70,20,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Forest Owlet,Athene blewitti,70,20,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,,,,,,,,,,,,,,,,,,,,,,,,
Boreal Owl,Aegolius funereus,30,70,0,0,0,0,0,0,0,0,VertFishScav,Ref_5,A,Hamish,0,0,90,10,0,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Andaman Scops-Owl,Otus balli,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,10,30,60,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Mountain Scops-Owl,Otus spilocephalus,80,20,0,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,40,50,10,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Eurasian Scops-Owl,Otus scops,80,10,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,80,10,10,0,0,0,Ref_5,1,Christian,,,,,,,,,,,,
Pallid Scops-Owl,Otus brucei,70,20,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,50,20,10,10,10,0,Ref_5,1,Other,,,,,,,,,,,,
Oriental Scops-Owl,Otus sunia,80,10,10,0,0,0,0,0,0,0,Invertebrate,Ref_5,A,Hamish,0,0,30,20,20,30,0,0,Ref_5,1,Christian,,,,,,,,,,,,
