species,detprobB,occB,occB.ci,trivB,sampareaB,detprobM,occM,occM.ci,trivM,sampareaM,migstatus
Jungle Owlet,0.054,61.2457453,0.0704,36.1173,238.3973,NA,NA,NA,NA,NA,R
Great Hornbill,0.03,16.0028477,0.0487,10.385,238.3973,NA,NA,NA,NA,NA,R
Brown Hornbill,0.023,0.6750084,0.0522,0.4049,238.3973,NA,NA,NA,NA,NA,R
Malabar Gray Hornbill,0.099,13.2610021,0.0363,10.7848,238.3973,NA,NA,NA,NA,NA,R
Blue-eared Kingfisher,0.012,12.4875463,0.0597,6.0226,238.3973,NA,NA,NA,NA,NA,R
Brown-capped Woodpecker,0.017,67.8942075,0.0906,34.3739,238.3973,NA,NA,NA,NA,NA,R
Yellow-crowned Woodpecker,0.011,84.4647678,0.1082,37.6848,238.3973,NA,NA,NA,NA,NA,R
White-bellied Woodpecker,0.018,8.597704,0.0393,6.3944,238.3973,NA,NA,NA,NA,NA,R
Slaty-headed Parakeet,0.094,11.2935814,0.0619,8.6707,238.3973,NA,NA,NA,NA,NA,R
Nicobar Parakeet,NA,NA,NA,0.0953,238.3973,NA,NA,NA,NA,NA,R
Large Woodshrike,0.015,14.5949752,0.0879,6.8895,238.3973,NA,NA,NA,NA,NA,R
Long-tailed Minivet,0.044,29.3514585,0.0712,17.8463,238.3973,NA,NA,NA,NA,NA,R
Orange Minivet,0.091,19.6757811,0.0369,15.9104,238.3973,NA,NA,NA,NA,NA,R
Bay-backed Shrike,0.028,129.4043637,0.0948,72.9848,238.3973,NA,NA,NA,NA,NA,R
Lesser Racket-tailed Drongo,0.027,14.433654,0.0694,7.7464,238.3973,NA,NA,NA,NA,NA,R
White-browed Fantail,0.028,85.5428955,0.0857,45.1278,238.3973,NA,NA,NA,NA,NA,R
Common Raven,0.04,19.3355067,0.0825,10.2299,238.3973,NA,NA,NA,NA,NA,R
Cinereous Tit,0.077,121.3030934,0.0784,75.3656,238.3973,NA,NA,NA,NA,NA,R
Indian Yellow Tit,0.035,41.8718308,0.0705,23.7209,238.3973,NA,NA,NA,NA,NA,R
Indian Nuthatch,0.014,24.9173403,0.0873,12.1539,238.3973,NA,NA,NA,NA,NA,R
Sikkim Treecreeper,0.029,2.1787235,0.0505,1.3985,238.3973,NA,NA,NA,NA,NA,R
Flame-throated Bulbul,0.049,9.6077059,0.0312,8.3072,238.3973,NA,NA,NA,NA,NA,R
Himalayan Bulbul,0.352,17.2206587,0.0441,14.6492,238.3973,NA,NA,NA,NA,NA,R
Rufous-fronted Prinia,0.012,34.5094692,0.1045,14.3329,238.3973,NA,NA,NA,NA,NA,R
Jungle Prinia,0.019,92.5489197,0.1033,45.6229,238.3973,NA,NA,NA,NA,NA,R
Fire-tailed Myzornis,0.027,2.3605382,0.066,1.264,238.3973,NA,NA,NA,NA,NA,R
Black-chinned Babbler,0.065,9.8298835,0.051,7.257,238.3973,NA,NA,NA,NA,NA,R
