Rank,eBird Scientific Name 2019,Scientific Name
ssp,Colinus virginianus maculatus,
ssp,Colinus virginianus aridus,
ssp,Colinus virginianus graysoni,
ssp,Colinus virginianus nigripectus,
ssp,Colinus virginianus pectoralis,
ssp,Colinus virginianus godmani,
ssp,Colinus virginianus minor,
ssp,Colinus virginianus insignis,
ssp,,
ssp,Colinus virginianus salvini,
ssp,Colinus virginianus coyoleos,
ssp,Colinus virginianus thayeri,
ssp,Colinus virginianus harrisoni,
ssp,Colinus virginianus atriceps,
ssp,,
species,Colinus nigrogularis,Colinus nigrogularis
ssp,Colinus nigrogularis caboti,
ssp,Colinus nigrogularis persiccus,
ssp,Colinus nigrogularis nigrogularis,
ssp,,
ssp,Colinus nigrogularis segoviensis,
species,,Colinus leucopogon
ssp,Colinus cristatus incanus,
ssp,Colinus cristatus hypoleucus,
ssp,Colinus cristatus leucopogon,
ssp,Colinus cristatus leylandi,
ssp,Colinus cristatus sclateri,
ssp,Colinus cristatus dickeyi,
species,Colinus cristatus,Colinus cristatus
ssp,Colinus cristatus mariae,
ssp,Colinus cristatus panamensis,
ssp,Colinus cristatus decoratus,
ssp,Colinus cristatus littoralis,
ssp,Colinus cristatus cristatus,
ssp,Colinus cristatus continentis,
ssp,Colinus cristatus horvathi,
ssp,Colinus cristatus barnesi,
ssp,Colinus cristatus sonnini,
ssp,Colinus cristatus mocquerysi,
ssp,Colinus cristatus leucotis,
ssp,Colinus cristatus badius,
ssp,Colinus cristatus bogotensis,
ssp,Colinus cristatus parvicristatus,
species,Odontophorus gujanensis,Odontophorus gujanensis
ssp,Odontophorus gujanensis castigatus,
ssp,Odontophorus gujanensis marmoratus,
ssp,,
ssp,Odontophorus gujanensis medius,
ssp,Odontophorus gujanensis gujanensis,
ssp,,
ssp,Odontophorus gujanensis buckleyi,
ssp,Odontophorus gujanensis rufogularis,
ssp,Odontophorus gujanensis pachyrhynchus,
ssp,Odontophorus gujanensis simonsi,
species,Odontophorus capueira,Odontophorus capueira
ssp,Odontophorus capueira capueira,
ssp,Odontophorus capueira plumbeicollis,
species,Odontophorus melanotis,Odontophorus melanotis
ssp,Odontophorus melanotis verecundus,
ssp,Odontophorus melanotis melanotis,
ssp,,
species,Odontophorus erythrops,Odontophorus erythrops
species,,
ssp,Odontophorus erythrops parambae,
ssp,Odontophorus erythrops erythrops,
ssp,,
species,Odontophorus atrifrons,Odontophorus atrifrons
ssp,Odontophorus atrifrons atrifrons,
ssp,Odontophorus atrifrons variegatus,
ssp,Odontophorus atrifrons navai,
species,Odontophorus hyperythrus,Odontophorus hyperythrus
species,Odontophorus melanonotus,Odontophorus melanonotus
species,Odontophorus speciosus,Odontophorus speciosus
species,,
ssp,Odontophorus speciosus soderstromii,
ssp,Odontophorus speciosus speciosus,
species,,
ssp,Odontophorus speciosus loricatus,
species,Odontophorus dialeucos,Odontophorus dialeucos
species,Odontophorus strophium,Odontophorus strophium
species,Odontophorus columbianus,Odontophorus columbianus
species,Odontophorus leucolaemus,Odontophorus leucolaemus
species,Odontophorus balliviani,Odontophorus balliviani
species,Odontophorus stellatus,Odontophorus stellatus
species,Odontophorus guttatus,Odontophorus guttatus
species,Dactylortyx thoracicus,Dactylortyx thoracicus
