Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,Long.Term.Trend,Current.Annual.Change,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Fulvous Whistling Duck,Dendrocygna bicolor,R,Least Concern,Schedule-I,,-1.87±11.42,13.41±0.07,Data Deficient,Uncertain,Moderate,Low
Lesser Whistling Duck,Dendrocygna javanica,R,Least Concern,Schedule-IV,4.61±19.5,-3.91±2.73,149.9±0.1,Stable,Moderate Decline,Very Large,Low
Bar-headed Goose,Anser indicus,LM,Least Concern,Schedule-IV,-13.4±217.66,-6.94±38.95,45.45±0.07,Uncertain,Uncertain,Large,Low
Greylag Goose,Anser anser,W/P,Least Concern,Schedule-IV,-38.4±34.94,-3.09±8.85,24.57±0.1,Uncertain,Uncertain,Moderate,Low
Comb Duck,Sarkidiornis melanotos,R,Least Concern,Schedule-IV,1.29±31.15,-6.02±4.43,81.23±0.08,Uncertain,Moderate Decline,Large,Moderate
Ruddy Shelduck,Tadorna ferruginea,LM,Least Concern,Schedule-IV,-0.91±65.32,-2.31±11.36,73.17±0.08,Uncertain,Uncertain,Large,Low
Cotton Teal,Nettapus coromandelianus,R,Least Concern,Schedule-IV,-59.55±9.45,-8.04±3.16,100.13±0.1,Strong Decline,Strong Decline,Very Large,High
Garganey,Spatula querquedula,W/P,Least Concern,Schedule-IV,-35.76±18.62,1.53±5.2,78.4±0.09,Stable,Uncertain,Large,Low
Northern Shoveler,Spatula clypeata,W/P,Least Concern,Schedule-IV,-27.92±23.26,0.21±5.82,92.08±0.08,Stable,Uncertain,Large,Low
Gadwall,Mareca strepera,W/P,Least Concern,Schedule-IV,-12.38±38.54,1.19±8.12,68.31±0.09,Uncertain,Uncertain,Large,Low
Eurasian Wigeon,Mareca penelope,W/P,Least Concern,Schedule-IV,-57.07±121.54,-4.11±46.43,59.69±0.08,Uncertain,Uncertain,Large,Low
Indian Spot-billed Duck,Anas poecilorhyncha,R,Least Concern,Schedule-IV,24.78±24.34,-4.1±2.7,137.13±0.08,Stable,Moderate Decline,Very Large,Low
Mallard,Anas platyrhynchos,W/P,Least Concern,Schedule-IV,-44.57±42.64,6.4±17.8,20.99±0.09,Uncertain,Uncertain,Moderate,Low
Northern Pintail,Anas acuta,W/P,Least Concern,Schedule-IV,-55.82±52.99,-5±18.76,99.14±0.09,Uncertain,Uncertain,Large,Low
Common Teal,Anas crecca,W/P,Least Concern,Schedule-IV,-40.4±37.77,3.94±12.27,83.05±0.09,Uncertain,Uncertain,Large,Low
Andaman Teal,Anas albogularis,R,Vulnerable,Schedule-I,,,0.35±0.03,Data Deficient,Data Deficient,Restricted,High
White-winged Wood Duck,Asarcornis scutulata,R,Endangered,Schedule-I,,,1.66±0.09,Data Deficient,Data Deficient,Restricted,High
Red-crested Pochard,Netta rufina,W/P,Least Concern,Schedule-IV,-22.17±35.1,0.69±8.08,34.44±0.08,Uncertain,Uncertain,Large,Low
Common Pochard,Aythya ferina,W/P,Vulnerable,Schedule-IV,-62.97±19.33,-2.84±8.53,56.79±0.08,Moderate Decline,Uncertain,Large,Moderate
Ferruginous Duck,Aythya nyroca,W/P,Near Threatened,Schedule-IV,-19.26±41.88,32.97±18.96,26.79±0.09,Uncertain,Strong Increase,Large,Low
Tufted Duck,Aythya fuligula,W/P,Least Concern,Schedule-IV,-68.36±56.46,-4.29±28.21,38.05±0.09,Uncertain,Uncertain,Large,Low
Common Merganser,Mergus merganser,LM,Least Concern,Schedule-IV,,-6.31±25.43,4.67±0.11,Data Deficient,Uncertain,Moderate,Low
Nicobar Megapode,Megapodius nicobariensis,R,Vulnerable,Schedule-I,,,0.08,Data Deficient,Data Deficient,Restricted,High
Common Hill Partridge,Arborophila torqueola,R,Least Concern,Schedule-IV,,-9.34±8.43,10.2±0.06,Data Deficient,Uncertain,Moderate,Low
Chestnut-breasted Hill Partridge,Arborophila mandellii,R,Vulnerable,Schedule-IV,,,1.38±0.07,Data Deficient,Data Deficient,Restricted,High
Rufous-throated Hill Partridge,Arborophila rufogularis,R,Least Concern,Schedule-IV,,,6.34±0.11,Data Deficient,Data Deficient,Moderate,Moderate
White-cheeked Hill Partridge,Arborophila atrogularis,R,Near Threatened,Schedule-IV,,,3.42±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Indian Peafowl,Pavo cristatus,R,Least Concern,Schedule-I,101.84±37.46,4.87±3.56,152.43±0.07,Strong Increase,Moderate Increase,Very Large,Low
Red Spurfowl,Galloperdix spadicea,R,Least Concern,Schedule-IV,-34.52±20.63,-3.13±4.88,36.34±0.07,Stable,Uncertain,Large,Low
Painted Spurfowl,Galloperdix lunulata,R,Least Concern,Schedule-IV,-33.3±35.74,-8.9±6.83,20.78±0.07,Uncertain,Moderate Decline,Moderate,Moderate
Rain Quail,Coturnix coromandelica,R,Least Concern,Schedule-IV,-66.56±16.32,33.33±19.61,38.18±0.1,Strong Decline,Strong Increase,Large,Moderate
Chukar Partridge,Alectoris chukar,R,Least Concern,Schedule-IV,,1.92±18.5,12.65±0.07,Data Deficient,Uncertain,Moderate,Low
Himalayan Snowcock,Tetraogallus himalayensis,R,Least Concern,Schedule-IV,,,5.37±0.09,Data Deficient,Data Deficient,Moderate,Moderate
Jungle Bush Quail,Perdicula asiatica,R,Least Concern,Schedule-IV,-53.49±13.82,-5.94±4.21,76.35±0.12,Moderate Decline,Moderate Decline,Large,Moderate
Rock Bush Quail,Perdicula argoondah,R,Least Concern,Schedule-IV,,-7.47±7.53,26.29±0.1,Data Deficient,Uncertain,Large,Low
Painted Bush Quail,Perdicula erythrorhyncha,R,Least Concern,Schedule-IV,,,4.03±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Manipur Bush Quail,Perdicula manipurensis,R,Endangered,Schedule-IV,,,,Data Deficient,Data Deficient,Data Deficient,High
Himalayan Quail,Ophrysia superciliosa,R,Critically Endangered,Schedule-I,,,,Data Deficient,Data Deficient,Data Deficient,High
Black Francolin,Francolinus francolinus,R,Least Concern,Schedule-IV,-33.76±28.38,0.06±7.85,35.48±0.09,Uncertain,Uncertain,Large,Low
Painted Francolin,Francolinus pictus,R,Least Concern,Schedule-IV,,2.64±9.24,40.25±0.1,Data Deficient,Uncertain,Large,Low
Grey Francolin,Francolinus pondicerianus,R,Least Concern,Schedule-IV,5.4±19.24,2.44±3.5,154.91±0.07,Stable,Uncertain,Very Large,Low
Swamp Francolin,Francolinus gularis,R,Vulnerable,Schedule-IV,,,3.39±0.09,Data Deficient,Data Deficient,Restricted,High
Mountain Bamboo Partridge,Bambusicola fytchii,R,Least Concern,Schedule-I,,,3.11±0.07,Data Deficient,Data Deficient,Restricted,Moderate
Red Junglefowl,Gallus gallus,R,Least Concern,Schedule-IV,-16.36±29.12,2.31±6.41,37.55±0.07,Uncertain,Uncertain,Large,Low
Grey Junglefowl,Gallus sonneratii,R,Least Concern,Schedule-IV,-30.63±25.89,-4.9±5.48,33.85±0.04,Uncertain,Uncertain,Large,Low
Blood Pheasant,Ithaginis cruentus,R,Least Concern,Schedule-I,,,1.12±0.05,Data Deficient,Data Deficient,Restricted,Moderate
Himalayan Monal,Lophophorus impejanus,R,Least Concern,Schedule-I,,6.6±28.71,7.62±0.05,Data Deficient,Uncertain,Moderate,Low
Sclater's Monal,Lophophorus sclateri,R,Vulnerable,Schedule-I,,,0.12,Data Deficient,Data Deficient,Very Restricted,High
Snow Partridge,Lerwa lerwa,R,Least Concern,Schedule-IV,,,2.86±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Western Tragopan,Tragopan melanocephalus,R,Vulnerable,Schedule-I,,,0.31,Data Deficient,Data Deficient,Very Restricted,High
Satyr Tragopan,Tragopan satyra,R,Near Threatened,Schedule-I,,,1.65±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Blyth's Tragopan,Tragopan blythii,R,Vulnerable,Schedule-I,,,1.21±0.08,Data Deficient,Data Deficient,Restricted,High
Cheer Pheasant,Catreus wallichii,R,Vulnerable,Schedule-I,,,2.79±0.07,Data Deficient,Data Deficient,Restricted,High
Kalij Pheasant,Lophura leucomelanos,R,Least Concern,Schedule-I,45.69±67.67,2.37±8.85,18.63±0.06,Uncertain,Uncertain,Moderate,Low
Koklass Pheasant,Pucrasia macrolopha,R,Least Concern,Schedule-IV,,,6.87±0.07,Data Deficient,Data Deficient,Moderate,Moderate
Greater Flamingo,Phoenicopterus roseus,LM,Least Concern,Schedule-IV,53.97±72.43,-2.99±8.54,8.52±0.06,Uncertain,Uncertain,Moderate,Low
Lesser Flamingo,Phoeniconaias minor,LM,Near Threatened,Schedule-IV,,-2.23±19.75,2.23±0.08,Data Deficient,Uncertain,Restricted,Moderate
Little Grebe,Tachybaptus ruficollis,R,Least Concern,Schedule-IV,-15.39±14.54,-7.35±2.2,164.06±0.1,Stable,Strong Decline,Very Large,Low
Great Crested Grebe,Podiceps cristatus,LM,Least Concern,Schedule-IV,-59.12±49.05,5.3±25.79,14.62±0.06,Uncertain,Uncertain,Moderate,Low
Rock Pigeon,Columba livia,R,Least Concern,Schedule-IV,143.97±27.02,8.68±2.13,222.65±0.08,Strong Increase,Strong Increase,Very Large,Low
Hill Pigeon,Columba rupestris,R,Least Concern,Schedule-IV,,7.91±23.07,12.7±0.05,Data Deficient,Uncertain,Moderate,Low
Snow Pigeon,Columba leuconota,R,Least Concern,Schedule-IV,,10.15±24.34,13.74±0.08,Data Deficient,Uncertain,Moderate,Low
Yellow-eyed Pigeon,Columba eversmanni,W/P,Vulnerable,Schedule-IV,,,0.67±0.1,Data Deficient,Data Deficient,Restricted,High
Speckled Wood Pigeon,Columba hodgsonii,R,Least Concern,Schedule-IV,,-12.72±26.12,7.59±0.07,Data Deficient,Uncertain,Moderate,Low
Ashy Wood Pigeon,Columba pulchricollis,R,Least Concern,Schedule-IV,,,2.11±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Nilgiri Wood Pigeon,Columba elphinstonii,R,Vulnerable,Schedule-IV,-28.55±42.46,10.63±13.91,10.94±0.05,Uncertain,Uncertain,Moderate,Moderate
Pale-capped Pigeon,Columba punicea,R,Vulnerable,Schedule-IV,,,1.87±0.07,Data Deficient,Data Deficient,Restricted,High
Andaman Wood Pigeon,Columba palumboides,R,Near Threatened,Schedule-IV,,,0.49±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Oriental Turtle Dove,Streptopelia orientalis,LM,Least Concern,Schedule-IV,-26.19±24.26,1.6±6.15,23.24±0.06,Stable,Uncertain,Moderate,Low
Eurasian Collared Dove,Streptopelia decaocto,R,Least Concern,Schedule-IV,-6.99±16.15,2.74±3.23,188.12±0.08,Stable,Uncertain,Very Large,Low
Red Collared Dove,Streptopelia tranquebarica,R,Least Concern,Schedule-IV,-54.33±11.09,-3.66±3.82,122.02±0.1,Moderate Decline,Uncertain,Very Large,Moderate
Spotted Dove,Streptopelia chinensis,R,Least Concern,Schedule-IV,17.17±15.23,-2.09±1.99,200.67±0.08,Stable,Stable,Very Large,Low
Laughing Dove,Streptopelia senegalensis,R,Least Concern,Schedule-IV,8.5±18.69,-1.27±2.9,181.27±0.06,Stable,Uncertain,Very Large,Low
Barred Cuckoo Dove,Macropygia unchall,R,Least Concern,Schedule-IV,,4.6±79.21,7.35±0.09,Data Deficient,Uncertain,Moderate,Low
Andaman Cuckoo Dove,Macropygia rufipennis,R,Least Concern,Schedule-IV,,,0.61±0,Data Deficient,Data Deficient,Restricted,Moderate
Asian Emerald Dove,Chalcophaps indica,R,Least Concern,Schedule-IV,-27.48±22.72,-0.05±5.39,48.4±0.07,Stable,Uncertain,Large,Low
Orange-breasted Green Pigeon,Treron bicinctus,R,Least Concern,Schedule-IV,,-8.13±9.58,21.24±0.09,Data Deficient,Uncertain,Moderate,Low
Grey-fronted Green Pigeon,Treron affinis,R,Least Concern,Schedule-IV,-50.77±28.17,-5.87±8.64,14.34±0.04,Uncertain,Uncertain,Moderate,Low
Andaman Green Pigeon,Treron chloropterus,R,Near Threatened,Schedule-IV,,-10.81±6.67,0.62±0.03,Data Deficient,Strong Decline,Restricted,High
Yellow-legged Green Pigeon,Treron phoenicopterus,R,Least Concern,Schedule-IV,74.66±41.49,2.33±4.09,129.03±0.09,Moderate Increase,Uncertain,Very Large,Low
Pin-tailed Green Pigeon,Treron apicauda,R,Least Concern,Schedule-IV,,-1.1±41.97,8.24±0.06,Data Deficient,Uncertain,Moderate,Low
Wedge-tailed Green Pigeon,Treron sphenurus,R,Least Concern,Schedule-IV,,3.83±13.19,16.5±0.08,Data Deficient,Uncertain,Moderate,Low
Green Imperial-Pigeon,Ducula aenea,R,Least Concern,Schedule-IV,4.06±51.06,-7.66±6.76,23.61±0.05,Uncertain,Uncertain,Moderate,Low
Nicobar Imperial-Pigeon,Ducula nicobarica,R,Least Concern,Schedule-IV,,,0.11±0.01,Data Deficient,Data Deficient,Restricted,Moderate
Mountain Imperial Pigeon,Ducula badia,R,Least Concern,Schedule-IV,-73.07±10.22,4.03±7.69,17.12±0.05,Strong Decline,Uncertain,Moderate,Moderate
Tibetan Sandgrouse,Syrrhaptes tibetanus,R,Least Concern,Schedule-IV,,,2.64±0.14,Data Deficient,Data Deficient,Restricted,Moderate
Chestnut-bellied Sandgrouse,Pterocles exustus,R,Least Concern,Schedule-IV,-53.13±18.42,0.5±7.57,41.74±0.08,Moderate Decline,Uncertain,Large,Moderate
Painted Sandgrouse,Pterocles indicus,R,Least Concern,Schedule-IV,,-5.54±10.88,17.22±0.09,Data Deficient,Uncertain,Moderate,Low
Great Indian Bustard,Ardeotis nigriceps,R,Critically Endangered,Schedule-I,,,2.31±0.12,Data Deficient,Data Deficient,Restricted,High
Bengal Florican,Houbaropsis bengalensis,R,Critically Endangered,Schedule-I,,,1.84±0.07,Data Deficient,Data Deficient,Restricted,High
Lesser Florican,Sypheotides indicus,R,Endangered,Schedule-I,,,3.03±0.06,Data Deficient,Data Deficient,Restricted,High
Andaman Coucal,Centropus andamanensis,R,Least Concern,Schedule-IV,,-1.77±4.69,0.51±0.02,Data Deficient,Uncertain,Restricted,Moderate
Greater Coucal,Centropus sinensis,R,Least Concern,Schedule-IV,40.08±15.72,3.84±2.05,193.43±0.08,Stable,Strong Increase,Very Large,Low
Lesser Coucal,Centropus bengalensis,R,Least Concern,Schedule-IV,,16.41±19.78,20.84±0.07,Data Deficient,Uncertain,Moderate,Low
Sirkeer Malkoha,Taccocua leschenaultii,R,Least Concern,Schedule-IV,-70.93±9.39,-5.07±4.71,58.18±0.12,Strong Decline,Uncertain,Large,Moderate
Blue-faced Malkoha,Phaenicophaeus viridirostris,R,Least Concern,Schedule-IV,-11.95±31.7,-4.77±5.17,45.92±0.06,Uncertain,Uncertain,Large,Low
Green-billed Malkoha,Phaenicophaeus tristis,R,Least Concern,Schedule-IV,24.33±71.69,4.51±11.96,20.98±0.08,Uncertain,Uncertain,Moderate,Low
Pied Cuckoo,Clamator jacobinus,LM,Least Concern,Schedule-IV,-39.23±15.36,-2.22±4.03,67.97±0.1,Stable,Uncertain,Large,Low
Asian Koel,Eudynamys scolopaceus,R,Least Concern,Schedule-IV,59.45±19.63,5.35±2.3,186.2±0.08,Moderate Increase,Strong Increase,Very Large,Low
Banded Bay Cuckoo,Cacomantis sonneratii,R,Least Concern,Schedule-IV,-59.51±16.24,8.71±9.05,30.36±0.09,Moderate Decline,Uncertain,Large,Moderate
Plaintive Cuckoo,Cacomantis merulinus,LM,Least Concern,Schedule-IV,,-11.7±13.29,2.87±0.08,Data Deficient,Uncertain,Restricted,Moderate
Grey-bellied Cuckoo,Cacomantis passerinus,R,Least Concern,Schedule-IV,-12.79±26.08,3.67±5.74,89±0.15,Uncertain,Uncertain,Large,Low
Fork-tailed Drongo Cuckoo,Surniculus dicruroides,LM,Least Concern,Schedule-IV,,-5.54±16.88,5±0.08,Data Deficient,Uncertain,Moderate,Low
Square-tailed Drongo Cuckoo,Surniculus lugubris,S,Least Concern,Schedule-IV,,1.51±30.16,7.32±0.12,Data Deficient,Uncertain,Moderate,Low
Large Hawk Cuckoo,Hierococcyx sparverioides,LM,Least Concern,Schedule-IV,-42.61±60.73,-3.08±16.32,6.68±0.09,Uncertain,Uncertain,Moderate,Low
Common Hawk Cuckoo,Hierococcyx varius,R,Least Concern,Schedule-IV,-36.29±10.24,-3.39±2.47,159.36±0.11,Moderate Decline,Uncertain,Very Large,Moderate
Lesser Cuckoo,Cuculus poliocephalus,LM,Least Concern,Schedule-IV,,-17.96±12.03,7.13±0.13,Data Deficient,Strong Decline,Moderate,Moderate
Indian Cuckoo,Cuculus micropterus,LM,Least Concern,Schedule-IV,-56.78±21.82,-10.16±6.18,27.57±0.07,Moderate Decline,Strong Decline,Large,Moderate
Himalayan Cuckoo,Cuculus saturatus,S,Least Concern,Schedule-IV,,-9.06±7.26,7.55±0.06,Data Deficient,Moderate Decline,Moderate,Moderate
Common Cuckoo,Cuculus canorus,S,Least Concern,Schedule-IV,-63.79±16.72,-8.63±5.94,37.33±0.08,Moderate Decline,Moderate Decline,Large,Moderate
White-rumped Spinetail,Zoonavena sylvatica,R,Least Concern,Schedule-IV,-76.53±11.24,-6.19±6.71,23.46±0.07,Strong Decline,Uncertain,Moderate,Moderate
Brown-backed Needletail,Hirundapus giganteus,R,Least Concern,Schedule-IV,-64.71±26.55,-10.7±8.76,14.03±0.05,Moderate Decline,Moderate Decline,Moderate,Moderate
Glossy Swiftlet,Collocalia esculenta,R,Least Concern,Schedule-IV,,-3.44±4.1,0.62±0,Data Deficient,Uncertain,Very Restricted,High
Indian Swiftlet,Aerodramus unicolor,R,Least Concern,Schedule-I,-24.61±45.17,-3.23±8.8,12.05±0.03,Uncertain,Uncertain,Moderate,Low
Himalayan Swiftlet,Aerodramus brevirostris,R,Least Concern,Schedule-IV,-77.52±14.02,-8.82±8.67,19.51±0.2,Strong Decline,Uncertain,Moderate,Moderate
Alpine Swift,Tachymarptis melba,LM,Least Concern,Schedule-IV,-45.71±21.18,1.1±7.2,14.94±0.1,Stable,Uncertain,Moderate,Low
Blyth's Swift,Apus leuconyx,LM,Least Concern,Schedule-IV,,,1.24±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Dark-rumped Swift,Apus acuticauda,R,Vulnerable,Schedule-IV,,,2.41±0.13,Data Deficient,Data Deficient,Restricted,High
Indian House Swift,Apus affinis,R,Least Concern,Schedule-IV,-45.24±8.34,6.19±3.18,178.66±0.12,Moderate Decline,Strong Increase,Very Large,Low
Asian Palm Swift,Cypsiurus balasiensis,R,Least Concern,Schedule-IV,-18.34±18.64,2.87±4.32,117.14±0.08,Stable,Uncertain,Very Large,Low
Crested Treeswift,Hemiprocne coronata,R,Least Concern,Schedule-IV,-75.32±7.45,-9.36±3.79,56.64±0.08,Strong Decline,Strong Decline,Large,High
Slaty-breasted Rail,Lewinia striata,R,Least Concern,Schedule-IV,,-6.37±10.93,16±0.09,Data Deficient,Uncertain,Moderate,Low
Common Moorhen,Gallinula chloropus,LM,Least Concern,Schedule-IV,41.44±31.13,-0.36±3.73,35.25±0.08,Uncertain,Uncertain,Large,Low
Common Coot,Fulica atra,LM,Least Concern,Schedule-IV,12.62±21.7,-6.62±2.4,37.13±0.08,Stable,Strong Decline,Large,Moderate
Purple Swamphen,Porphyrio porphyrio,R,Least Concern,Schedule-IV,35.25±27.97,-10.74±2.24,114.37±0.08,Uncertain,Strong Decline,Very Large,Moderate
Watercock,Gallicrex cinerea,S,Least Concern,Schedule-IV,,-12.32±7.71,14.19±0.06,Data Deficient,Strong Decline,Moderate,Moderate
White-breasted Waterhen,Amaurornis phoenicurus,R,Least Concern,Schedule-IV,37.14±19.76,-0.88±2.29,174.3±0.1,Stable,Uncertain,Very Large,Low
Andaman Crake,Rallina canningi,R,Least Concern,Schedule-IV,,,0.49±0.04,Data Deficient,Data Deficient,Restricted,Moderate
Slaty-legged Crake,Rallina eurizonoides,R,Least Concern,Schedule-IV,,,8.27±0.12,Data Deficient,Data Deficient,Moderate,Moderate
Ruddy-breasted Crake,Zapornia fusca,R,Least Concern,Schedule-IV,,1.64±8.59,35.76±0.1,Data Deficient,Uncertain,Large,Low
Brown Crake,Zapornia akool,R,Least Concern,Schedule-IV,-57.75±18.8,-3.53±6.65,35.89±0.1,Moderate Decline,Uncertain,Large,Moderate
Baillon's Crake,Zapornia pusilla,W/P,Least Concern,Schedule-IV,,17.67±27.43,14.92±0.08,Data Deficient,Uncertain,Moderate,Low
Black-tailed Crake,Zapornia bicolor,R,Least Concern,Schedule-IV,,,2.63±0.06,Data Deficient,Data Deficient,Restricted,Moderate
Demoiselle Crane,Grus virgo,W/P,Least Concern,Schedule-IV,,-1.36±21.55,14.71±0.08,Data Deficient,Uncertain,Moderate,Low
Sarus Crane,Antigone antigone,R,Vulnerable,Schedule-IV,-49.86±20.52,-7.39±5.56,33.14±0.07,Moderate Decline,Moderate Decline,Large,Moderate
Common Crane,Grus grus,W/P,Least Concern,Schedule-IV,-72.85±14.2,-4.24±8.8,16.47±0.07,Strong Decline,Uncertain,Moderate,Moderate
Black-necked Crane,Grus nigricollis,S,Vulnerable,Schedule-I,,,1.59±0.04,Data Deficient,Data Deficient,Restricted,High
Indian Thick-knee,Burhinus indicus,R,Least Concern,Schedule-IV,-62.13±10.76,-4.48±4.48,76.04±0.1,Strong Decline,Uncertain,Large,Moderate
Great Thick-knee,Esacus recurvirostris,R,Near Threatened,Schedule-IV,-55.23±19.85,-3.54±6.56,33.39±0.08,Moderate Decline,Uncertain,Large,Moderate
Black-winged Stilt,Himantopus himantopus,LM,Least Concern,Schedule-IV,-14.05±17.85,0.23±3.7,53.75±0.08,Stable,Uncertain,Large,Low
Pied Avocet,Recurvirostra avosetta,W/P,Least Concern,Schedule-IV,-26.55±37.02,-8.85±7.32,21.98±0.07,Uncertain,Moderate Decline,Moderate,Moderate
Eurasian Oystercatcher,Haematopus ostralegus,W/P,Near Threatened,Schedule-IV,,-0.64±43.62,2.84±0.04,Data Deficient,Uncertain,Restricted,Moderate
Grey Plover,Pluvialis squatarola,W/P,Least Concern,Schedule-IV,-86.79±17.3,-3.39±21.82,5.34±0.04,Strong Decline,Uncertain,Moderate,Moderate
Pacific Golden Plover,Pluvialis fulva,W/P,Least Concern,Schedule-IV,-88.46±5.84,-11.18±5.95,16.83±0.05,Strong Decline,Strong Decline,Moderate,High
Northern Lapwing,Vanellus vanellus,W/P,Near Threatened,Schedule-IV,,6.02±20.63,6.72±0.07,Data Deficient,Uncertain,Moderate,Moderate
River Lapwing,Vanellus duvaucelii,R,Near Threatened,Schedule-IV,-26.79±26.27,-3.02±5.9,38.09±0.08,Uncertain,Uncertain,Large,Moderate
Yellow-wattled Lapwing,Vanellus malabaricus,R,Least Concern,Schedule-IV,-47.44±10.87,-5.9±2.92,121.26±0.1,Moderate Decline,Strong Decline,Very Large,Moderate
Grey-headed Lapwing,Vanellus cinereus,W/P,Least Concern,Schedule-IV,10.09±109.43,-11.02±11.25,16.47±0.06,Uncertain,Uncertain,Moderate,Low
Red-wattled Lapwing,Vanellus indicus,R,Least Concern,Schedule-IV,6±12.26,-2.95±1.72,203±0.07,Stable,Moderate Decline,Very Large,Low
Sociable Lapwing,Vanellus gregarius,W/P,Critically Endangered,Schedule-IV,,,0.52±0.07,Data Deficient,Data Deficient,Very Restricted,High
White-tailed Lapwing,Vanellus leucurus,W/P,Least Concern,Schedule-IV,-51.38±31.24,-11.08±7.67,18.21±0.11,Uncertain,Strong Decline,Moderate,Moderate
Lesser Sand Plover,Charadrius mongolus,LM,Least Concern,Schedule-IV,-72.47±15.73,-6.29±8.2,14.85±0.05,Strong Decline,Uncertain,Moderate,Moderate
Greater Sand Plover,Charadrius leschenaultii,W/P,Least Concern,Schedule-IV,,-9.26±9.73,7.97±0.04,Data Deficient,Uncertain,Moderate,Low
Kentish Plover,Charadrius alexandrinus,LM,Least Concern,Schedule-IV,-65.99±11.68,-5.38±5.25,6.01±0.06,Strong Decline,Uncertain,Moderate,Moderate
Little Ringed Plover,Charadrius dubius,LM,Least Concern,Schedule-IV,-57.31±8.32,-4.96±2.8,30.8±0.1,Moderate Decline,Moderate Decline,Large,Moderate
Greater Painted-snipe,Rostratula benghalensis,R,Least Concern,Schedule-IV,-51.74±15.2,-3.3±4.78,84.3±0.15,Moderate Decline,Uncertain,Large,Moderate
Pheasant-tailed Jacana,Hydrophasianus chirurgus,R,Least Concern,Schedule-IV,-41.67±13.18,-0.66±4,101.44±0.1,Moderate Decline,Uncertain,Very Large,Moderate
Bronze-winged Jacana,Metopidius indicus,R,Least Concern,Schedule-IV,-1.34±23.89,-5.67±3.39,101.09±0.08,Stable,Moderate Decline,Very Large,Low
Whimbrel,Numenius phaeopus,W/P,Least Concern,Schedule-IV,-78.94±16.82,-2.77±13.14,9.28±0.04,Strong Decline,Uncertain,Moderate,Moderate
Eurasian Curlew,Numenius arquata,W/P,Near Threatened,Schedule-IV,-76.99±12.43,0.46±9.59,20.33±0.06,Strong Decline,Uncertain,Moderate,Moderate
Bar-tailed Godwit,Limosa lapponica,W/P,Near Threatened,Schedule-IV,,-1.18±39.96,6.23±0.05,Data Deficient,Uncertain,Moderate,Moderate
Black-tailed Godwit,Limosa limosa,W/P,Near Threatened,Schedule-IV,-44.18±19.97,-1.15±5.98,45.54±0.07,Stable,Uncertain,Large,Low
Ruddy Turnstone,Arenaria interpres,W/P,Least Concern,Schedule-IV,,-8.26±11.82,5.82±0.04,Data Deficient,Uncertain,Moderate,Low
Great Knot,Calidris tenuirostris,W/P,Endangered,Schedule-IV,,,2.01±0.05,Data Deficient,Data Deficient,Restricted,High
Ruff,Calidris pugnax,W/P,Least Concern,Schedule-IV,-44.2±23.83,-2.2±7.06,40.84±0.07,Stable,Uncertain,Large,Low
Broad-billed Sandpiper,Calidris falcinellus,W/P,Least Concern,Schedule-IV,,-13.54±13.8,3.5±0.04,Data Deficient,Uncertain,Restricted,Moderate
Curlew Sandpiper,Calidris ferruginea,W/P,Near Threatened,Schedule-IV,-87.62±8.66,-8.05±9.7,8.41±0.05,Strong Decline,Uncertain,Moderate,Moderate
Temminck's Stint,Calidris temminckii,W/P,Least Concern,Schedule-IV,-61.94±12.46,3.66±6.69,29.25,Moderate Decline,Uncertain,Large,Moderate
Sanderling,Calidris alba,W/P,Least Concern,Schedule-IV,,-14.11±8.96,6.39±0.05,Data Deficient,Strong Decline,Moderate,Moderate
Dunlin,Calidris alpina,W/P,Least Concern,Schedule-IV,-79.2±17.43,-6.97±12.36,9.04±0.06,Strong Decline,Uncertain,Moderate,Moderate
Little Stint,Calidris minuta,W/P,Least Concern,Schedule-IV,-67.37±10.21,-2.68±5.1,66.83±0.08,Strong Decline,Uncertain,Large,Moderate
Common Snipe,Gallinago gallinago,W/P,Least Concern,Schedule-IV,-43.25±19.21,-0.55±5.58,35.27,Stable,Uncertain,Large,Low
Pintail Snipe,Gallinago stenura,W/P,Least Concern,Schedule-IV,-66±22.68,-6.09±9.06,16.18±0.08,Moderate Decline,Uncertain,Moderate,Moderate
Terek Sandpiper,Xenus cinereus,W/P,Least Concern,Schedule-IV,,-8.2±21.21,5.55±0.04,Data Deficient,Uncertain,Moderate,Low
Common Sandpiper,Actitis hypoleucos,W/P,Least Concern,Schedule-IV,-39.98±10.37,-6.07±2.44,95.91,Moderate Decline,Strong Decline,Large,Moderate
Green Sandpiper,Tringa ochropus,W/P,Least Concern,Schedule-IV,-49.55±10.57,-1.49±3.55,134.96±0.13,Moderate Decline,Uncertain,Very Large,Moderate
Spotted Redshank,Tringa erythropus,W/P,Least Concern,Schedule-IV,-57.59±33.41,2.98±15.37,35.81±0.08,Uncertain,Uncertain,Large,Low
