Common.Name,Scientific.Name,Migratory.Status,IUCN,WLPA.Schedule,CITES.Appendix,CMS.Appendix,Long.Term.Trend.Mean,Long.Term.Trend.Lower,Long.Term.Trend.Upper,Long.Term.Trend,Current.Annual.Change.Mean,Current.Annual.Change.Lower,Current.Annual.Change.Upper,Current.Annual.Change,Range.Size.Mean,Range.Size.Lower,Range.Size.Upper,Range.Size,Long.Term.Status,Current.Status,Range.Status,Concern.Status
Greater Racket-tailed Drongo,Dicrurus paradiseus,R,Least Concern,Schedule-IV,,,-47.26180169,-64.23670214,-30.28690124,-47.26±16.97,-2.728179464,-8.03062222,2.574263292,-2.73±5.3,51.8895992,51.8363992,51.9427992,51.89±0.05,Moderate Decline,Uncertain,Large,Moderate
White-throated Fantail,Rhipidura albicollis,R,Least Concern,Schedule-IV,,Appendix II,52.21668645,-4.61683773,109.0502106,52.22±56.83,1.694773995,-4.79737182,8.18691981,1.69±6.49,36.8164245,36.7442245,36.8886245,36.82±0.07,Uncertain,Uncertain,Large,Low
White-spotted Fantail,Rhipidura albogularis,R,Least Concern,Schedule-IV,,Appendix II,44.65647391,-6.86738999,96.18033781,44.66±51.52,15.77735226,7.383698253,24.17100627,15.78±8.39,47.1414759,47.0701759,47.2127759,47.14±0.07,Uncertain,Strong Increase,Large,Low
White-browed Fantail,Rhipidura aureola,R,Least Concern,Schedule-IV,,Appendix II,-32.99522586,-51.50939921,-14.48105251,-33±18.51,-3.756847496,-8.008295889,0.494600897,-3.76±4.25,85.5428955,85.4571955,85.6285955,85.54±0.09,Stable,Uncertain,Large,Low
Black-naped Monarch,Hypothymis azurea,R,Least Concern,Schedule-IV,,Appendix II,-46.83718217,-60.40640914,-33.2679552,-46.84±13.57,-0.015624841,-4.347998908,4.316749226,-0.02±4.33,79.0816966,79.0019966,79.1613966,79.08±0.08,Moderate Decline,Uncertain,Large,Moderate
Indian Paradise-flycatcher,Terpsiphone paradisi,LM,Least Concern,Schedule-IV,,Appendix II,-20.21237359,-36.86982554,-3.55492164,-20.21±16.66,-1.925789293,-5.306139488,1.454560902,-1.93±3.38,54.3050019,54.2166019,54.3934019,54.31±0.09,Stable,Uncertain,Large,Low
Eurasian Jay,Garrulus glandarius,R,Least Concern,Schedule-IV,,,,,,,-2.848828864,-15.66975565,9.972097926,-2.85±12.82,8.1807318,8.1178318,8.2436318,8.18±0.06,Data Deficient,Uncertain,Moderate,Low
Black-headed Jay,Garrulus lanceolatus,R,Least Concern,Schedule-IV,,,-19.93604376,-79.27125051,39.39916299,-19.94±59.34,0.829627657,-12.2283879,13.88764322,0.83±13.06,9.0703946,9.0217946,9.1189946,9.07±0.05,Uncertain,Uncertain,Moderate,Low
Yellow-billed Blue Magpie,Urocissa flavirostris,R,Least Concern,Schedule-IV,,,21.93399766,-65.34551359,109.2135089,21.93±87.28,-1.379887049,-13.51696425,10.75719015,-1.38±12.14,14.4697577,14.4175577,14.5219577,14.47±0.05,Uncertain,Uncertain,Moderate,Low
Red-billed Blue Magpie,Urocissa erythroryncha,R,Least Concern,Schedule-IV,,,-18.19179106,-70.87951662,34.4959345,-18.19±52.69,-0.286384651,-11.1031537,10.5303844,-0.29±10.82,12.1774325,12.1264325,12.2284325,12.18±0.05,Uncertain,Uncertain,Moderate,Low
Common Green Magpie,Cissa chinensis,R,Least Concern,Schedule-IV,,,-8.765933436,-70.47482302,52.94295614,-8.77±61.71,2.720704837,-10.08917928,15.53058896,2.72±12.81,9.0714071,9.0098071,9.1330071,9.07±0.06,Uncertain,Uncertain,Moderate,Low
Rufous Treepie,Dendrocitta vagabunda,R,Least Concern,Schedule-IV,,,18.34515236,2.58680416,34.10350056,18.35±15.76,-2.472228747,-4.612099445,-0.332358049,-2.47±2.14,173.6997346,173.6248346,173.7746346,173.7±0.07,Stable,Uncertain,Very Large,Low
Grey Treepie,Dendrocitta formosae,R,Least Concern,Schedule-IV,,,72.72612973,-0.67165423,146.1239137,72.73±73.4,15.6299523,4.67438201,26.58552259,15.63±10.96,23.5397195,23.4724195,23.6070195,23.54±0.07,Uncertain,Strong Increase,Moderate,Low
White-bellied Treepie,Dendrocitta leucogastra,R,Least Concern,Schedule-IV,,,-70.09488228,-92.16427729,-48.02548727,-70.09±22.07,-6.656399913,-17.21552856,3.902728737,-6.66±10.56,7.3952031,7.3610031,7.4294031,7.4±0.03,Moderate Decline,Uncertain,Moderate,Moderate
Collared Treepie,Dendrocitta frontalis,R,Least Concern,Schedule-IV,,,,,,,0.990577479,-21.10304308,23.08419804,0.99±22.09,2.7854499,2.7174499,2.8534499,2.79±0.07,Data Deficient,Uncertain,Restricted,Moderate
Andaman Treepie,Dendrocitta bayleii,R,Vulnerable,Schedule-IV,,,,,,,,,,,0.5016529,0.4794529,0.5238529,0.5±0.02,Data Deficient,Data Deficient,Restricted,High
Large-spotted Nutcracker,Nucifraga multipunctata,R,Least Concern,Schedule-IV,,,,,,,,,,,2.3990613,2.3146613,2.4834613,2.4±0.08,Data Deficient,Data Deficient,Restricted,Moderate
Red-billed Chough,Pyrrhocorax pyrrhocorax,R,Least Concern,Schedule-IV,,,-47.70244857,-90.00384773,-5.40104941,-47.7±42.3,6.370887407,-12.12419675,24.86597157,6.37±18.5,12.6834785,12.6296785,12.7372785,12.68±0.05,Uncertain,Uncertain,Moderate,Low
Yellow-billed Chough,Pyrrhocorax graculus,R,Least Concern,Schedule-IV,,,,,,,1.851267356,-14.95141214,18.65394686,1.85±16.8,12.6934595,12.6310595,12.7558595,12.69±0.06,Data Deficient,Uncertain,Moderate,Low
House Crow,Corvus splendens,R,Least Concern,Schedule-V,,,47.10004882,31.07074454,63.1293531,47.1±16.03,1.399722431,-0.452372261,3.251817123,1.4±1.85,217.9789637,217.9166637,218.0412637,217.98±0.06,Moderate Increase,Stable,Very Large,Low
Large-billed Crow,Corvus macrorhynchos,R,Least Concern,Schedule-IV,,,4.778673426,-7.271560744,16.8289076,4.78±12.05,2.366035562,0.186995829,4.545075295,2.37±2.18,203.0057561,202.9312561,203.0802561,203.01±0.07,Stable,Uncertain,Very Large,Low
Common Raven,Corvus corax,R,Least Concern,Schedule-IV,,,,,,,-9.13648496,-17.67018741,-0.602782509,-9.14±8.53,19.3355067,19.2530067,19.4180067,19.34±0.08,Data Deficient,Uncertain,Moderate,Low
Rufous-tailed Lark,Ammomanes phoenicura,R,Least Concern,Schedule-IV,,,-67.58329388,-76.4001783,-58.76640946,-67.58±8.82,-3.05072365,-7.295422099,1.193974799,-3.05±4.24,91.1214222,91.0401222,91.2027222,91.12±0.08,Strong Decline,Uncertain,Large,Moderate
Ashy-crowned Sparrow Lark,Eremopterix griseus,R,Least Concern,Schedule-IV,,,-51.18866339,-61.54961186,-40.82771492,-51.19±10.36,-3.520003801,-6.996156581,-0.043851021,-3.52±3.48,135.9619791,135.8827791,136.0411791,135.96±0.08,Moderate Decline,Uncertain,Very Large,Moderate
Singing Bushlark,Mirafra cantillans,R,Least Concern,Schedule-IV,,,,,,,-24.03389697,-27.78081591,-20.28697803,-24.03±3.75,16.2293687,16.1258687,16.3328687,16.23±0.1,Data Deficient,Strong Decline,Moderate,Moderate
Bengal Bushlark,Mirafra assamica,R,Least Concern,Schedule-IV,,,,,,,-6.330312631,-13.90429491,1.243669646,-6.33±7.57,24.9231348,24.8463348,24.9999348,24.92±0.08,Data Deficient,Uncertain,Moderate,Low
Jerdon's Bushlark,Mirafra affinis,R,Least Concern,Schedule-IV,,,-13.32721141,-50.56382202,23.9093992,-13.33±37.24,-1.051052065,-8.359416121,6.257311991,-1.05±7.31,36.0448172,35.9930172,36.0966172,36.04±0.05,Uncertain,Uncertain,Large,Low
Indian Bushlark,Mirafra erythroptera,R,Least Concern,Schedule-IV,,,-33.85851447,-51.74339392,-15.97363502,-33.86±17.88,-3.418607673,-7.628650416,0.79143507,-3.42±4.21,90.1980883,90.1016883,90.2944883,90.2±0.1,Stable,Uncertain,Large,Low
Greater Short-toed Lark,Calandrella brachydactyla,W/P,Least Concern,Schedule-IV,,,-41.48048751,-100,131.728747,-41.48±173.21,191.1569978,-209.6458488,591.9598444,191.16±400.8,24.8879322,24.8253322,24.9505322,24.89±0.06,Uncertain,Uncertain,Moderate,Low
Sykes's Short-toed Lark,Calandrella dukhunensis,W/P,Least Concern,Schedule-IV,,,,,,,,,,,,,,,,,,
Sand Lark,Alaudala raytal,R,Least Concern,Schedule-IV,,,-53.57515121,-79.74013377,-27.41016865,-53.58±26.16,6.223793018,-5.751204712,18.19879075,6.22±11.97,21.7148919,21.6356919,21.7940919,21.71±0.08,Moderate Decline,Uncertain,Moderate,Moderate
Oriental Skylark,Alauda gulgula,R,Least Concern,Schedule-IV,,,-61.11221696,-70.95476542,-51.2696685,-61.11±9.84,0.330423726,-4.225592724,4.886440176,0.33±4.56,90.1812672,90.0648672,90.2976672,90.18±0.12,Strong Decline,Uncertain,Large,Moderate
Crested Lark,Galerida cristata,R,Least Concern,Schedule-IV,,,-61.47143421,-74.41917733,-48.52369109,-61.47±12.95,-1.626588818,-7.348338567,4.095160931,-1.63±5.72,41.1268596,41.0430596,41.2106596,41.13±0.08,Moderate Decline,Uncertain,Large,Moderate
Malabar Lark,Galerida malabarica,R,Least Concern,Schedule-IV,,,-59.79905255,-85.94457494,-33.65353016,-59.8±26.15,-10.02487759,-18.23281979,-1.816935388,-10.02±8.21,15.8621432,15.8145432,15.9097432,15.86±0.05,Moderate Decline,Moderate Decline,Moderate,Moderate
Sykes's Lark,Galerida deva,R,Least Concern,Schedule-IV,,,,,,,-5.178170883,-11.99747462,1.641132849,-5.18±6.82,31.8654608,31.7775608,31.9533608,31.87±0.09,Data Deficient,Uncertain,Large,Low
Grey-throated Martin,Riparia chinensis,R,Least Concern,Schedule-IV,,,-36.58661678,-59.34864491,-13.82458865,-36.59±22.76,2.998674503,-3.991154686,9.988503692,3±6.99,57.5636633,57.4724633,57.6548633,57.56±0.09,Stable,Uncertain,Large,Low
Eurasian Crag Martin,Ptyonoprogne rupestris,LM,Least Concern,Schedule-IV,,,-77.48642666,-100,-54.86468046,-77.49±22.62,-3.396843949,-19.74174726,12.94805936,-3.4±16.34,4.8919561,4.8204561,4.9634561,4.89±0.07,Strong Decline,Uncertain,Moderate,Moderate
Dusky Crag Martin,Ptyonoprogne concolor,R,Least Concern,Schedule-IV,,,-24.61751927,-42.03514334,-7.1998952,-24.62±17.42,8.154399505,2.820458738,13.48834027,8.15±5.33,104.7196132,104.6357132,104.8035132,104.72±0.08,Stable,Strong Increase,Very Large,Low
Barn Swallow,Hirundo rustica,LM,Least Concern,Schedule-IV,,,-16.29675137,-28.44136959,-4.15213315,-16.3±12.14,-0.411234469,-2.685051215,1.862582277,-0.41±2.27,140.6297803,140.5388803,140.7206803,140.63±0.09,Stable,Uncertain,Very Large,Low
Wire-tailed Swallow,Hirundo smithii,R,Least Concern,Schedule-IV,,,-5.905611961,-26.30964863,14.49842471,-5.91±20.4,-0.120051933,-3.814056266,3.5739524,-0.12±3.69,151.1085767,151.0162767,151.2008767,151.11±0.09,Stable,Uncertain,Very Large,Low
Hill Swallow,Hirundo domicola,R,Least Concern,Schedule-IV,,,,,,,-2.422009275,-13.45580811,8.611789555,-2.42±11.03,3.6778123,3.6418123,3.7138123,3.68±0.04,Data Deficient,Uncertain,Restricted,Moderate
Red-rumped Swallow,Cecropis daurica,R,Least Concern,Schedule-IV,,,-35.76519142,-46.68631604,-24.8440668,-35.77±10.92,1.079815456,-1.914795211,4.074426123,1.08±2.99,132.6356495,132.5456495,132.7256495,132.64±0.09,Stable,Uncertain,Very Large,Low
Streak-throated Swallow,Petrochelidon fluvicola,R,Least Concern,Schedule-IV,,,-22.59055426,-42.90803572,-2.2730728,-22.59±20.32,7.156680582,1.82563703,12.48772413,7.16±5.33,111.1713196,111.0412196,111.3014196,111.17±0.13,Stable,Strong Increase,Very Large,Low
Nepal House Martin,Delichon nipalense,LM,Least Concern,Schedule-IV,,,,,,,-9.039444435,-33.03115458,14.95226571,-9.04±23.99,2.7922101,2.7124101,2.8720101,2.79±0.08,Data Deficient,Uncertain,Restricted,Moderate
Yellow-bellied Fairy-fantail,Chelidorhynx hypoxanthus,R,Least Concern,Schedule-IV,,,-40.25525214,-73.625341,-6.88516328,-40.26±33.37,-2.535759983,-12.14777394,7.076253969,-2.54±9.61,19.206559,19.119159,19.293959,19.21±0.09,Uncertain,Uncertain,Moderate,Low
Grey-headed Canary-flycatcher,Culicicapa ceylonensis,LM,Least Concern,Schedule-IV,,,-47.1326582,-63.45256591,-30.81275049,-47.13±16.32,-7.08680302,-11.67084001,-2.502766033,-7.09±4.58,13.125781,13.074181,13.177381,13.13±0.05,Moderate Decline,Moderate Decline,Moderate,Moderate
Fire-capped Tit,Cephalopyrus flammiceps,R,Least Concern,Schedule-IV,,,,,,,,,,,4.0163889,3.9215889,4.1111889,4.02±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Yellow-browed Tit,Sylviparus modestus,R,Least Concern,Schedule-IV,,,-63.51946267,-98.7614603,-28.27746504,-63.52±35.24,-0.492114781,-16.86846838,15.88423882,-0.49±16.38,7.5412618,7.4773618,7.6051618,7.54±0.06,Moderate Decline,Uncertain,Moderate,Moderate
Sultan Tit,Melanochlora sultanea,R,Least Concern,Schedule-IV,,,,,,,2.172221199,-53.60987145,57.95431385,2.17±55.78,6.5727861,6.5192861,6.6262861,6.57±0.05,Data Deficient,Uncertain,Moderate,Low
Coal Tit,Periparus ater,R,Least Concern,Schedule-IV,,,-35.20309572,-86.98613242,16.57994098,-35.2±51.78,-3.306130498,-16.72026596,10.10800496,-3.31±13.41,12.7515261,12.6971261,12.8059261,12.75±0.05,Uncertain,Uncertain,Moderate,Low
Rufous-naped Tit,Periparus rufonuchalis,R,Least Concern,Schedule-IV,,,,,,,-7.372588084,-19.85107464,5.105898476,-7.37±12.48,9.7508702,9.6581702,9.8435702,9.75±0.09,Data Deficient,Uncertain,Moderate,Low
Rufous-vented Tit,Periparus rubidiventris,R,Least Concern,Schedule-IV,,,,,,,-3.165779743,-27.37131993,21.03976045,-3.17±24.21,6.1098471,6.0451471,6.1745471,6.11±0.06,Data Deficient,Uncertain,Moderate,Low
Grey-crested Tit,Lophophanes dichrous,R,Least Concern,Schedule-IV,,,,,,,3.816189611,-21.93327634,29.56565556,3.82±25.75,6.1604952,6.0976952,6.2232952,6.16±0.06,Data Deficient,Uncertain,Moderate,Low
Green-backed Tit,Parus monticolus,R,Least Concern,Schedule-IV,,,-28.64551794,-67.31348079,10.02244491,-28.65±38.67,-3.71417152,-12.08249005,4.654147009,-3.71±8.37,18.7528932,18.7030932,18.8026932,18.75±0.05,Uncertain,Uncertain,Moderate,Low
Cinereous Tit,Parus cinereus,R,Least Concern,Schedule-IV,,,-13.0936518,-33.16286501,6.97556141,-13.09±20.07,1.706121298,-2.423731302,5.835973898,1.71±4.13,121.3030934,121.2246934,121.3814934,121.3±0.08,Stable,Uncertain,Very Large,Low
White-naped Tit,Machlolophus nuchalis,R,Vulnerable,Schedule-IV,,,,,,,,,,,3.965217,3.869417,4.061017,3.97±0.1,Data Deficient,Data Deficient,Restricted,High
Himalayan Black-lored Tit,Machlolophus xanthogenys,R,Least Concern,Schedule-IV,,,4.79647823,-76.8154389,86.40839536,4.8±81.61,-8.319278531,-18.02015802,1.381600956,-8.32±9.7,8.83295,8.78215,8.88375,8.83±0.05,Uncertain,Uncertain,Moderate,Low
Indian Yellow Tit,Machlolophus aplonotus,R,Least Concern,Schedule-IV,,,-42.88841375,-62.93446914,-22.84235836,-42.89±20.05,-5.352296481,-10.19272111,-0.511871855,-5.35±4.84,41.8718308,41.8013308,41.9423308,41.87±0.07,Stable,Uncertain,Large,Low
Yellow-cheeked Tit,Machlolophus spilonotus,R,Least Concern,Schedule-IV,,,,,,,-2.681045141,-27.56253173,22.20044145,-2.68±24.88,4.7708227,4.7024227,4.8392227,4.77±0.07,Data Deficient,Uncertain,Moderate,Low
Black-throated Tit,Aegithalos concinnus,R,Least Concern,Schedule-IV,,,-23.45609687,-63.59123228,16.67903854,-23.46±40.14,-5.989720496,-13.09671366,1.117272668,-5.99±7.11,15.8064995,15.7544995,15.8584995,15.81±0.05,Uncertain,Uncertain,Moderate,Low
White-throated Tit,Aegithalos niveogularis,R,Least Concern,Schedule-IV,,,,,,,,,,,6.5860836,6.4416836,6.7304836,6.59±0.14,Data Deficient,Data Deficient,Moderate,Moderate
Black-browed Tit,Aegithalos iouschistos,R,Least Concern,Schedule-IV,,,,,,,,,,,2.6313149,2.5374149,2.7252149,2.63±0.09,Data Deficient,Data Deficient,Restricted,Moderate
Indian Nuthatch,Sitta castanea,R,Least Concern,Schedule-IV,,,-74.24564083,-87.33777061,-61.15351105,-74.25±13.09,-8.315454476,-14.89234345,-1.738565503,-8.32±6.58,24.9173403,24.8300403,25.0046403,24.92±0.09,Strong Decline,Moderate Decline,Moderate,High
Chestnut-bellied Nuthatch,Sitta cinnamoventris,R,Least Concern,Schedule-IV,,,3.087149788,-44.81087833,50.98517791,3.09±47.9,1.060121464,-7.127914193,9.248157121,1.06±8.19,18.3112385,18.2415385,18.3809385,18.31±0.07,Uncertain,Uncertain,Moderate,Low
Kashmir Nuthatch,Sitta cashmirensis,R,Least Concern,Schedule-IV,,,,,,,,,,,1.683626,1.592926,1.774326,1.68±0.09,Data Deficient,Data Deficient,Restricted,Moderate
White-tailed Nuthatch,Sitta himalayensis,R,Least Concern,Schedule-IV,,,-53.23381609,-83.71648454,-22.75114764,-53.23±30.48,-2.701978026,-12.82311191,7.419155854,-2.7±10.12,9.9865651,9.9351651,10.0379651,9.99±0.05,Uncertain,Uncertain,Moderate,Low
White-cheeked Nuthatch,Sitta leucopsis,R,Least Concern,Schedule-IV,,,,,,,,,,,6.9726756,6.8508756,7.0944756,6.97±0.12,Data Deficient,Data Deficient,Moderate,Moderate
Velvet-fronted Nuthatch,Sitta frontalis,R,Least Concern,Schedule-IV,,,-62.03604562,-74.75365307,-49.31843817,-62.04±12.72,-5.540512836,-10.29499142,-0.786034255,-5.54±4.75,31.3315673,31.2748673,31.3882673,31.33±0.06,Moderate Decline,Uncertain,Large,Moderate
Beautiful Nuthatch,Sitta formosa,R,Vulnerable,Schedule-IV,,,,,,,,,,,1.969504,1.888004,2.051004,1.97±0.08,Data Deficient,Data Deficient,Restricted,High
Wallcreeper,Tichodroma muraria,W/P,Least Concern,Schedule-IV,,,-23.03989437,-100,320.9394318,-23.04±343.98,-2.971369065,-81.53896556,75.59622743,-2.97±78.57,15.0672484,14.9405484,15.1939484,15.07±0.13,Uncertain,Uncertain,Moderate,Low
Hodgson's Treecreeper,Certhia hodgsoni,R,Least Concern,Schedule-IV,,,,,,,,,,,11.3083468,11.1999468,11.4167468,11.31±0.11,Data Deficient,Data Deficient,Moderate,Moderate
Bar-tailed Treecreeper,Certhia himalayana,R,Least Concern,Schedule-IV,,,-7.331232124,-69.25027541,54.58781117,-7.33±61.92,-8.531680479,-17.37006811,0.306707147,-8.53±8.84,13.4192381,13.3646381,13.4738381,13.42±0.05,Uncertain,Uncertain,Moderate,Low
Rusty-flanked Treecreeper,Certhia nipalensis,R,Least Concern,Schedule-IV,,,,,,,,,,,4.4864368,4.4036368,4.5692368,4.49±0.08,Data Deficient,Data Deficient,Moderate,Moderate
Sikkim Treecreeper,Certhia discolor,R,Least Concern,Schedule-IV,,,,,,,-2.355982282,-17.65053778,12.93857322,-2.36±15.29,2.1787235,2.1282235,2.2292235,2.18±0.05,Data Deficient,Uncertain,Restricted,Moderate
Indian Spotted Creeper,Salpornis spilonota,R,Least Concern,Schedule-IV,,,,,,,,,,,3.6107189,3.5083189,3.7131189,3.61±0.1,Data Deficient,Data Deficient,Restricted,Moderate
Eurasian Wren,Troglodytes troglodytes,R,Least Concern,Schedule-IV,,,,,,,-9.787500053,-24.04325784,4.468257737,-9.79±14.26,13.2408202,13.1775202,13.3041202,13.24±0.06,Data Deficient,Uncertain,Moderate,Low
Brown Dipper,Cinclus pallasii,R,Least Concern,Schedule-IV,,,-42.14941774,-74.83513179,-9.46370369,-42.15±32.69,2.425294945,-8.441422855,13.29201275,2.43±10.87,18.9865742,18.9219742,19.0511742,18.99±0.06,Uncertain,Uncertain,Moderate,Low
Grey-headed Bulbul,Brachypodius priocephalus,R,Near Threatened,Schedule-IV,,,,,,,-3.63227826,-14.00890804,6.74435152,-3.63±10.38,9.9447993,9.9077993,9.9817993,9.94±0.04,Data Deficient,Uncertain,Moderate,Moderate
Andaman Bulbul,Brachypodius fuscoflavescens,R,Least Concern,Schedule-IV,,,,,,,2.019573658,-8.309384952,12.34853227,2.02±10.33,0.509429,0.508329,0.510529,0.51±0,Data Deficient,Uncertain,Restricted,Moderate
Black-crested Bulbul,Pycnonotus flaviventris,R,Least Concern,Schedule-IV,,,7.606458543,-43.2651246,58.47804168,7.61±50.87,5.37886762,-4.436954225,15.19468947,5.38±9.82,23.0347327,22.9692327,23.1002327,23.03±0.07,Uncertain,Uncertain,Moderate,Low
Flame-throated Bulbul,Pycnonotus gularis,R,Least Concern,Schedule-IV,,,-68.55671928,-89.86282544,-47.25061312,-68.56±21.31,-4.734062338,-14.655437,5.187312319,-4.73±9.92,9.6077059,9.5765059,9.6389059,9.61±0.03,Moderate Decline,Uncertain,Moderate,Moderate
Striated Bulbul,Pycnonotus striatus,R,Least Concern,Schedule-IV,,,,,,,-4.865197776,-30.20411228,20.47371672,-4.87±25.34,6.4852685,6.4173685,6.5531685,6.49±0.07,Data Deficient,Uncertain,Moderate,Low
Red-vented Bulbul,Pycnonotus cafer,R,Least Concern,Schedule-IV,,,13.68738554,4.917005869,22.45776521,13.69±8.77,-0.389445559,-1.575322798,0.79643168,-0.39±1.19,221.7307763,221.6650763,221.7964763,221.73±0.07,Stable,Stable,Very Large,Low
Red-whiskered Bulbul,Pycnonotus jocosus,R,Least Concern,Schedule-IV,,,24.91653869,-2.3136913,52.14676868,24.92±27.23,-0.058822255,-3.648962306,3.531317796,-0.06±3.59,113.5003724,113.4382724,113.5624724,113.5±0.06,Uncertain,Uncertain,Very Large,Low
White-eared Bulbul,Pycnonotus leucotis,R,Least Concern,Schedule-IV,,,-10.11127368,-48.59679979,28.37425243,-10.11±38.49,-1.626700411,-9.291182596,6.037781774,-1.63±7.66,34.5009781,34.4344781,34.5674781,34.5±0.07,Uncertain,Uncertain,Large,Low
Himalayan Bulbul,Pycnonotus leucogenis,R,Least Concern,Schedule-IV,,,90.16311035,-13.13544395,193.4616647,90.16±103.3,2.915899751,-7.488618569,13.32041807,2.92±10.4,17.2206587,17.1765587,17.2647587,17.22±0.04,Uncertain,Uncertain,Moderate,Low
Yellow-throated Bulbul,Pycnonotus xantholaemus,R,Vulnerable,Schedule-IV,,,,,,,-11.2133699,-20.96507573,-1.461664073,-11.21±9.75,9.3673067,9.3119067,9.4227067,9.37±0.06,Data Deficient,Moderate Decline,Moderate,Moderate
White-browed Bulbul,Pycnonotus luteolus,R,Least Concern,Schedule-IV,,,-10.60378995,-37.07375657,15.86617667,-10.6±26.47,-0.347696692,-5.50718782,4.811794436,-0.35±5.16,65.0139296,64.9524296,65.0754296,65.01±0.06,Uncertain,Uncertain,Large,Low
White-throated Bulbul,Alophoixus flaveolus,R,Least Concern,Schedule-IV,,,-24.75450771,-100,186.2367458,-24.75±210.99,10.11379222,-60.11575263,80.34333707,10.11±70.23,10.2249371,10.1725371,10.2773371,10.22±0.05,Uncertain,Uncertain,Moderate,Low
Indian Olive Bulbul,Iole cacharensis,R,Least Concern,Schedule-IV,,,,,,,,,,,0.2376,0.2376,0.2376,0.24,Data Deficient,Data Deficient,Very Restricted,High
Yellow-browed Bulbul,Acritillas indica,R,Least Concern,Schedule-IV,,,-77.79295238,-92.3445594,-63.24134536,-77.79±14.55,-5.759438926,-15.67766053,4.158782678,-5.76±9.92,15.136203,15.101503,15.170903,15.14±0.03,Strong Decline,Uncertain,Moderate,Moderate
Black Bulbul,Hypsipetes leucocephalus,R,Least Concern,Schedule-IV,,,36.02880419,-20.61101322,92.6686216,36.03±56.64,3.970115443,-3.929351302,11.86958219,3.97±7.9,25.1872591,25.1293591,25.2451591,25.19±0.06,Uncertain,Uncertain,Large,Low
Square-tailed Bulbul,Hypsipetes ganeesa,R,Least Concern,Schedule-IV,,,-73.72585774,-86.81210229,-60.63961319,-73.73±13.09,-6.033059576,-13.26010357,1.193984418,-6.03±7.23,10.8372287,10.7940287,10.8804287,10.84±0.04,Strong Decline,Uncertain,Moderate,Moderate
Nicobar Bulbul,Ixos nicobariensis,R,Near Threatened,Schedule-IV,,,,,,,,,,,0.0273,0.0273,0.0273,0.03,Data Deficient,Data Deficient,Restricted,Moderate
Ashy Bulbul,Hemixos flavala,R,Least Concern,Schedule-IV,,,-11.18679788,-69.13193534,46.75833958,-11.19±57.95,-3.044712761,-13.13125568,7.041830159,-3.04±10.09,14.4776018,14.4026018,14.5526018,14.48±0.08,Uncertain,Uncertain,Moderate,Low
Mountain Bulbul,Ixos mcclellandii,R,Least Concern,Schedule-IV,,,,,,,1.795496442,-17.3837319,20.97472478,1.8±19.18,10.1667318,10.1039318,10.2295318,10.17±0.06,Data Deficient,Uncertain,Moderate,Low
Scaly-breasted Wren Babbler,Pnoepyga albiventer,R,Least Concern,Schedule-IV,,Appendix II,,,,,-4.294632017,-124.8940923,116.3048283,-4.29±120.6,10.2182332,10.1434332,10.2930332,10.22±0.07,Data Deficient,Uncertain,Moderate,Low
Nepal Wren Babbler,Pnoepyga immaculata,R,Least Concern,Schedule-IV,,Appendix II,,,,,,,,,3.2446287,3.0834287,3.4058287,3.24±0.16,Data Deficient,Data Deficient,Restricted,Moderate
Pygmy Wren Babbler,Pnoepyga pusilla,R,Least Concern,Schedule-IV,,Appendix II,,,,,6.113539934,-26.3375958,38.56467566,6.11±32.45,8.744825,8.664725,8.824925,8.74±0.08,Data Deficient,Uncertain,Moderate,Low
Pale-footed Bush Warbler,Hemitesia pallidipes,R,Least Concern,Schedule-IV,,,,,,,,,,,1.5824875,1.4676875,1.6972875,1.58±0.11,Data Deficient,Data Deficient,Restricted,Moderate
Grey-bellied Tesia,Tesia cyaniventer,R,Least Concern,Schedule-IV,,,,,,,-10.3477802,-37.09686336,16.40130296,-10.35±26.75,9.0333357,8.9535357,9.1131357,9.03±0.08,Data Deficient,Uncertain,Moderate,Low
Slaty-bellied Tesia,Tesia olivea,R,Least Concern,Schedule-IV,,,,,,,-6.279228516,-23.81819146,11.25973442,-6.28±17.54,4.7170644,4.6277644,4.8063644,4.72±0.09,Data Deficient,Uncertain,Moderate,Low
Grey-sided Bush Warbler,Cettia brunnifrons,R,Least Concern,Schedule-IV,,,,,,,-11.89588768,-34.25055771,10.45878235,-11.9±22.35,9.403377,9.331677,9.475077,9.4±0.07,Data Deficient,Uncertain,Moderate,Low
Chestnut-headed Tesia,Cettia castaneocoronata,R,Least Concern,Schedule-IV,,,-31.57070146,-98.76706172,35.6256588,-31.57±67.2,-9.023416354,-21.23521286,3.188380156,-9.02±12.21,11.1096068,11.0369068,11.1823068,11.11±0.07,Uncertain,Uncertain,Moderate,Low
Yellow-bellied Warbler,Abroscopus superciliaris,R,Least Concern,Schedule-IV,,,,,,,5.274945368,-32.49953649,43.04942723,5.27±37.77,6.4601813,6.3796813,6.5406813,6.46±0.08,Data Deficient,Uncertain,Moderate,Low
Black-faced Warbler,Abroscopus schisticeps,R,Least Concern,Schedule-IV,,,,,,,3.813492508,-12.56869503,20.19568005,3.81±16.38,7.0073272,6.9350272,7.0796272,7.01±0.07,Data Deficient,Uncertain,Moderate,Low
