"sl","Common.Name","Scientific.Name","eBird.English.Name.2018","eBird.English.Name.2019","eBird.species.group","order","family","IUCN","WLPA.Schedule","Long.Term.Analysis","Current.Analysis","Long.Term.Trend","Long.Term.Trend.CI","Current.Annual.Change","Current.Annual.Change.CI","Range.Size","Range.Size.CI","Long.Term.Status","Current.Status","Range.Status","Concern.Status","Migratory.Status","Diet.Category","Waterbirds","Raptors","Raptors.Scavengers","Raptors.Composite","Waterbirds.Composite","Habitat.Composite","Endemics.Composite","Diet.Composite"
54,"Kalij Pheasant","Lophura leucomelanos","Kalij Pheasant","Kalij Pheasant","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-I","X","X",45.68997916,67.66912593,2.369533744,8.845250761,18.6347312,0.0632999999999981,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","","","","","","Forests","Resident-Non-Endemics","Omnivorous"
55,"Koklass Pheasant","Pucrasia macrolopha","Koklass Pheasant","Koklass Pheasant","Grouse, Quail, and Allies","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Least Concern","Schedule-IV","","",NA,NA,NA,NA,6.8721133,0.0725000000000007,"Data Deficient","Data Deficient","Moderate","Moderate","Resident","Omnivore","","","","","","Forests","","Omnivorous"
56,"Greater Flamingo","Phoenicopterus roseus","Greater Flamingo","Greater Flamingo","Flamingos","Phoenicopteriformes","Phoenicopteridae (Flamingos)","Least Concern","Schedule-IV","X","X",53.96681644,72.43178077,-2.994858251,8.542224749,8.521447,0.0625999999999998,"Uncertain","Uncertain","Moderate","Low","Resident","Omnivore","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
57,"Lesser Flamingo","Phoeniconaias minor","Lesser Flamingo","Lesser Flamingo","Flamingos","Phoenicopteriformes","Phoenicopteridae (Flamingos)","Near Threatened","Schedule-IV","","X",NA,NA,-2.229507556,19.75332545,2.2280254,0.0822000000000003,"Data Deficient","Uncertain","Restricted","Moderate","Resident","PlantSeed","X","","","","Others-Resident","Wetlands","",""
58,"Little Grebe","Tachybaptus ruficollis","Little Grebe","Little Grebe","Grebes","Podicipediformes","Podicipedidae (Grebes)","Least Concern","Schedule-IV","X","X",-15.38719324,14.54067571,-7.347690277,2.203448062,164.0592996,0.0969000000000051,"Stable","Strong Decline","Very Large","Low","Resident","Invertebrate","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
59,"Great Crested Grebe","Podiceps cristatus","Great Crested Grebe","Great Crested Grebe","Grebes","Podicipediformes","Podicipedidae (Grebes)","Least Concern","Schedule-IV","X","X",-59.12065219,49.04832431,5.297641547,25.78670738,14.6196277,0.0640999999999998,"Uncertain","Uncertain","Moderate","Low","Resident","VertFishScav","X","","","","Others-Resident","Wetlands","Resident-Non-Endemics",""
60,"Rock Pigeon","Columba livia","Rock Pigeon","Rock Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","X","X",143.9681557,27.01840809,8.675199218,2.131361113,222.6533985,0.0759999999999934,"Strong Increase","Strong Increase","Very Large","Low","Resident","PlantSeed","","","","","","Generalists","Resident-Non-Endemics","Plant-Seed"
61,"Hill Pigeon","Columba rupestris","Hill Pigeon","Hill Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","X",NA,NA,7.906699008,23.07015522,12.6963159,0.0504999999999995,"Data Deficient","Uncertain","Moderate","Low","Resident","PlantSeed","","","","","","Generalists","","Plant-Seed"
62,"Snow Pigeon","Columba leuconota","Snow Pigeon","Snow Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Least Concern","Schedule-IV","","X",NA,NA,10.14631804,24.33911365,13.7391562,0.0753000000000004,"Data Deficient","Uncertain","Moderate","Low","Resident","PlantSeed","","","","","","Generalists","","Plant-Seed"
63,"Yellow-eyed Pigeon","Columba eversmanni","Pale-backed Pigeon","Yellow-eyed Pigeon","Pigeons and Doves","Columbiformes","Columbidae (Pigeons and Doves)","Vulnerable","Schedule-IV","","",NA,NA,NA,NA,0.6734923,0.0988,"Data Deficient","Data Deficient","Restricted","High","Migratory-Long-Distance","PlantSeed","","","","","","Grassland/Scrub","","Plant-Seed"
