eBird English Name 2018,eBird Scientific Name 2018,India Checklist Name,India Scientific Name,eBird English Name 2019,eBird Scientific Name 2019,IUCN,Schedule,CITES Appendix,CMS Appendix
Eurasian Nightjar,Caprimulgus europaeus,European Nightjar,Caprimulgus europaeus,Eurasian Nightjar,Caprimulgus europaeus,Least Concern,Schedule-IV,,
Sykes's Nightjar,Caprimulgus mahrattensis,Sykes's Nightjar,Caprimulgus mahrattensis,Sykes's Nightjar,Caprimulgus mahrattensis,Least Concern,Schedule-IV,,
Large-tailed Nightjar,Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgus macrurus,Large-tailed Nightjar,Caprimulgus macrurus,Least Concern,Schedule-IV,,
Andaman Nightjar,Caprimulgus andamanicus,Andaman Nightjar,Caprimulgus andamanicus,Andaman Nightjar,Caprimulgus andamanicus,Least Concern,Schedule-IV,,
Jerdon's Nightjar,Caprimulgus atripennis,Jerdon's Nightjar,Caprimulgus atripennis,Jerdon's Nightjar,Caprimulgus atripennis,Least Concern,Schedule-IV,,
Indian Nightjar,Caprimulgus asiaticus,Indian Nightjar,Caprimulgus asiaticus,Indian Nightjar,Caprimulgus asiaticus,Least Concern,Schedule-IV,,
Savanna Nightjar,Caprimulgus affinis,Savanna Nightjar,Caprimulgus affinis,Savanna Nightjar,Caprimulgus affinis,Least Concern,Schedule-IV,,
White-rumped Needletail,Zoonavena sylvatica,White-rumped Spinetail,Zoonavena sylvatica,White-rumped Needletail,Zoonavena sylvatica,Least Concern,Schedule-IV,,
White-throated Needletail,Hirundapus caudacutus,White-throated Needletail,Hirundapus caudacutus,White-throated Needletail,Hirundapus caudacutus,Least Concern,Schedule-IV,,
Silver-backed Needletail,Hirundapus cochinchinensis,Silver-backed Needletail,Hirundapus cochinchinensis,Silver-backed Needletail,Hirundapus cochinchinensis,Least Concern,Schedule-IV,,
Brown-backed Needletail,Hirundapus giganteus,Brown-backed Needletail,Hirundapus giganteus,Brown-backed Needletail,Hirundapus giganteus,Least Concern,Schedule-IV,,
Plume-toed Swiftlet,Collocalia affinis,Glossy Swiftlet,Collocalia esculenta,Plume-toed Swiftlet,Collocalia affinis,Least Concern,Schedule-IV,,
Indian Swiftlet,Aerodramus unicolor,Indian Swiftlet,Aerodramus unicolor,Indian Swiftlet,Aerodramus unicolor,Least Concern,Schedule-I,,
Himalayan Swiftlet,Aerodramus brevirostris,Himalayan Swiftlet,Aerodramus brevirostris,Himalayan Swiftlet,Aerodramus brevirostris,Least Concern,Schedule-IV,,
White-nest Swiftlet,Aerodramus fuciphagus,Edible-nest Swiftlet,Aerodramus fuciphagus,White-nest Swiftlet,Aerodramus fuciphagus,Least Concern,Schedule-IV,,
Alpine Swift,Apus melba,Alpine Swift,Tachymarptis melba,Alpine Swift,Apus melba,Least Concern,Schedule-IV,,
Common Swift,Apus apus,Common Swift,Apus apus,Common Swift,Apus apus,Least Concern,Schedule-IV,,
Pacific Swift,Apus pacificus,Pacific Swift,Apus pacificus,Pacific Swift,Apus pacificus,Least Concern,Schedule-IV,,
Blyth's Swift,Apus leuconyx,Blyth's Swift,Apus leuconyx,Blyth's Swift,Apus leuconyx,Least Concern,Schedule-IV,,
Dark-rumped Swift,Apus acuticauda,Dark-rumped Swift,Apus acuticauda,Dark-rumped Swift,Apus acuticauda,Vulnerable,Schedule-IV,,
Little Swift,Apus affinis,Indian House Swift,Apus affinis,Little Swift,Apus affinis,Least Concern,Schedule-IV,,
House Swift,Apus nipalensis,Nepal House Swift,Apus nipalensis,House Swift,Apus nipalensis,Least Concern,Schedule-IV,,
Asian Palm-Swift,Cypsiurus balasiensis,Asian Palm Swift,Cypsiurus balasiensis,Asian Palm-Swift,Cypsiurus balasiensis,Least Concern,Schedule-IV,,
Crested Treeswift,Hemiprocne coronata,Crested Treeswift,Hemiprocne coronata,Crested Treeswift,Hemiprocne coronata,Least Concern,Schedule-IV,,
Water Rail,Rallus aquaticus,Western Water Rail,Rallus aquaticus,Water Rail,Rallus aquaticus,Least Concern,Schedule-IV,,
Brown-cheeked Rail,Rallus indicus,Eastern Water Rail,Rallus indicus,Brown-cheeked Rail,Rallus indicus,Least Concern,Schedule-IV,,
Corn Crake,Crex crex,Corncrake,Crex crex,Corn Crake,Crex crex,Least Concern,Schedule-IV,,Appendix II
Slaty-breasted Rail,Lewinia striata,Slaty-breasted Rail,Lewinia striata,Slaty-breasted Rail,Lewinia striata,Least Concern,Schedule-IV,,
Spotted Crake,Porzana porzana,Spotted Crake,Porzana porzana,Spotted Crake,Porzana porzana,Least Concern,Schedule-IV,,
Eurasian Moorhen,Gallinula chloropus,Common Moorhen,Gallinula chloropus,Eurasian Moorhen,Gallinula chloropus,Least Concern,Schedule-IV,,
Eurasian Coot,Fulica atra,Common Coot,Fulica atra,Eurasian Coot,Fulica atra,Least Concern,Schedule-IV,,
Gray-headed Swamphen,Porphyrio poliocephalus,Purple Swamphen,Porphyrio porphyrio,Gray-headed Swamphen,Porphyrio poliocephalus,Least Concern,Schedule-IV,,
Watercock,Gallicrex cinerea,Watercock,Gallicrex cinerea,Watercock,Gallicrex cinerea,Least Concern,Schedule-IV,,
White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Amaurornis phoenicurus,White-breasted Waterhen,Amaurornis phoenicurus,Least Concern,Schedule-IV,,
White-browed Crake,Amaurornis cinerea,White-browed Crake,Amaurornis cinerea,White-browed Crake,Amaurornis cinerea,Least Concern,Schedule-IV,,
Andaman Crake,Rallina canningi,Andaman Crake,Rallina canningi,Andaman Crake,Rallina canningi,Least Concern,Schedule-IV,,
Slaty-legged Crake,Rallina eurizonoides,Slaty-legged Crake,Rallina eurizonoides,Slaty-legged Crake,Rallina eurizonoides,Least Concern,Schedule-IV,,
Ruddy-breasted Crake,Zapornia fusca,Ruddy-breasted Crake,Zapornia fusca,Ruddy-breasted Crake,Zapornia fusca,Least Concern,Schedule-IV,,
Brown Crake,Zapornia akool,Brown Crake,Zapornia akool,Brown Crake,Zapornia akool,Least Concern,Schedule-IV,,
Little Crake,Zapornia parva,Little Crake,Zapornia parva,Little Crake,Zapornia parva,Least Concern,Schedule-IV,,
Baillon's Crake,Zapornia pusilla,Baillon's Crake,Zapornia pusilla,Baillon's Crake,Zapornia pusilla,Least Concern,Schedule-IV,,
Black-tailed Crake,Zapornia bicolor,Black-tailed Crake,Zapornia bicolor,Black-tailed Crake,Zapornia bicolor,Least Concern,Schedule-IV,,
Masked Finfoot,Heliopais personatus,Masked Finfoot,Heliopais personatus,Masked Finfoot,Heliopais personatus,Endangered,Schedule-IV,,
Demoiselle Crane,Anthropoides virgo,Demoiselle Crane,Grus virgo,Demoiselle Crane,Anthropoides virgo,Least Concern,Schedule-IV,Appendix II,Appendix II
Siberian Crane,Leucogeranus leucogeranus,Siberian Crane,Leucogeranus leucogeranus,Siberian Crane,Leucogeranus leucogeranus,Critically Endangered,Schedule-I,Appendix II,Appendix I
Sarus Crane,Antigone antigone,Sarus Crane,Antigone antigone,Sarus Crane,Antigone antigone,Vulnerable,Schedule-IV,Appendix II,Appendix II
Common Crane,Grus grus,Common Crane,Grus grus,Common Crane,Grus grus,Least Concern,Schedule-IV,Appendix II,Appendix II
Black-necked Crane,Grus nigricollis,Black-necked Crane,Grus nigricollis,Black-necked Crane,Grus nigricollis,Vulnerable,Schedule-I,Appendix I,Appendix I
Indian Thick-knee,Burhinus indicus,Indian Thick-knee,Burhinus indicus,Indian Thick-knee,Burhinus indicus,Least Concern,Schedule-IV,,
Great Thick-knee,Esacus recurvirostris,Great Thick-knee,Esacus recurvirostris,Great Thick-knee,Esacus recurvirostris,Near Threatened,Schedule-IV,,
Beach Thick-knee,Esacus magnirostris,Beach Thick-knee,Esacus magnirostris,Beach Thick-knee,Esacus magnirostris,Near Threatened,Schedule-IV,,
Black-winged Stilt,Himantopus himantopus,Black-winged Stilt,Himantopus himantopus,Black-winged Stilt,Himantopus himantopus,Least Concern,Schedule-IV,,Appendix II
Pied Avocet,Recurvirostra avosetta,Pied Avocet,Recurvirostra avosetta,Pied Avocet,Recurvirostra avosetta,Least Concern,Schedule-IV,,Appendix II
Ibisbill,Ibidorhyncha struthersii,Ibisbill,Ibidorhyncha struthersii,Ibisbill,Ibidorhyncha struthersii,Least Concern,Schedule-IV,,Appendix II
Eurasian Oystercatcher,Haematopus ostralegus,Eurasian Oystercatcher,Haematopus ostralegus,Eurasian Oystercatcher,Haematopus ostralegus,Near Threatened,Schedule-IV,,Appendix II
Black-bellied Plover,Pluvialis squatarola,Grey Plover,Pluvialis squatarola,Black-bellied Plover,Pluvialis squatarola,Least Concern,Schedule-IV,,Appendix II
European Golden-Plover,Pluvialis apricaria,Eurasian Golden Plover,Pluvialis apricaria,European Golden-Plover,Pluvialis apricaria,Least Concern,Schedule-IV,,Appendix II
Pacific Golden-Plover,Pluvialis fulva,Pacific Golden Plover,Pluvialis fulva,Pacific Golden-Plover,Pluvialis fulva,Least Concern,Schedule-IV,,Appendix II
Northern Lapwing,Vanellus vanellus,Northern Lapwing,Vanellus vanellus,Northern Lapwing,Vanellus vanellus,Near Threatened,Schedule-IV,,Appendix II
River Lapwing,Vanellus duvaucelii,River Lapwing,Vanellus duvaucelii,River Lapwing,Vanellus duvaucelii,Near Threatened,Schedule-IV,,Appendix II
Yellow-wattled Lapwing,Vanellus malabaricus,Yellow-wattled Lapwing,Vanellus malabaricus,Yellow-wattled Lapwing,Vanellus malabaricus,Least Concern,Schedule-IV,,Appendix II
Gray-headed Lapwing,Vanellus cinereus,Grey-headed Lapwing,Vanellus cinereus,Gray-headed Lapwing,Vanellus cinereus,Least Concern,Schedule-IV,,Appendix II
Red-wattled Lapwing,Vanellus indicus,Red-wattled Lapwing,Vanellus indicus,Red-wattled Lapwing,Vanellus indicus,Least Concern,Schedule-IV,,Appendix II
Sociable Lapwing,Vanellus gregarius,Sociable Lapwing,Vanellus gregarius,Sociable Lapwing,Vanellus gregarius,Critically Endangered,Schedule-IV,,Appendix I
White-tailed Lapwing,Vanellus leucurus,White-tailed Lapwing,Vanellus leucurus,White-tailed Lapwing,Vanellus leucurus,Least Concern,Schedule-IV,,Appendix II
Lesser Sand-Plover,Charadrius mongolus,Lesser Sand Plover,Charadrius mongolus,Lesser Sand-Plover,Charadrius mongolus,Least Concern,Schedule-IV,,Appendix II
Greater Sand-Plover,Charadrius leschenaultii,Greater Sand Plover,Charadrius leschenaultii,Greater Sand-Plover,Charadrius leschenaultii,Least Concern,Schedule-IV,,Appendix II
Caspian Plover,Charadrius asiaticus,Caspian Plover,Charadrius asiaticus,Caspian Plover,Charadrius asiaticus,Least Concern,Schedule-IV,,Appendix II
Kentish Plover,Charadrius alexandrinus,Kentish Plover,Charadrius alexandrinus,Kentish Plover,Charadrius alexandrinus,Least Concern,Schedule-IV,,Appendix II
Common Ringed Plover,Charadrius hiaticula,Common Ringed Plover,Charadrius hiaticula,Common Ringed Plover,Charadrius hiaticula,Least Concern,Schedule-IV,,Appendix II
Long-billed Plover,Charadrius placidus,Long-billed Plover,Charadrius placidus,Long-billed Plover,Charadrius placidus,Least Concern,Schedule-IV,,Appendix II
Little Ringed Plover,Charadrius dubius,Little Ringed Plover,Charadrius dubius,Little Ringed Plover,Charadrius dubius,Least Concern,Schedule-IV,,Appendix II
Oriental Plover,Charadrius veredus,Oriental Plover,Charadrius veredus,Oriental Plover,Charadrius veredus,Least Concern,Schedule-IV,,Appendix II
Greater Painted-Snipe,Rostratula benghalensis,Greater Painted-snipe,Rostratula benghalensis,Greater Painted-Snipe,Rostratula benghalensis,Least Concern,Schedule-IV,,
Pheasant-tailed Jacana,Hydrophasianus chirurgus,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Least Concern,Schedule-IV,,
Bronze-winged Jacana,Metopidius indicus,Bronze-winged Jacana,Metopidius indicus,Bronze-winged Jacana,Metopidius indicus,Least Concern,Schedule-IV,,
Whimbrel,Numenius phaeopus,Whimbrel,Numenius phaeopus,Whimbrel,Numenius phaeopus,Least Concern,Schedule-IV,,Appendix II
Eurasian Curlew,Numenius arquata,Eurasian Curlew,Numenius arquata,Eurasian Curlew,Numenius arquata,Near Threatened,Schedule-IV,,Appendix II
Bar-tailed Godwit,Limosa lapponica,Bar-tailed Godwit,Limosa lapponica,Bar-tailed Godwit,Limosa lapponica,Near Threatened,Schedule-IV,,Appendix II
Black-tailed Godwit,Limosa limosa,Black-tailed Godwit,Limosa limosa,Black-tailed Godwit,Limosa limosa,Near Threatened,Schedule-IV,,Appendix II
Ruddy Turnstone,Arenaria interpres,Ruddy Turnstone,Arenaria interpres,Ruddy Turnstone,Arenaria interpres,Least Concern,Schedule-IV,,Appendix II
Great Knot,Calidris tenuirostris,Great Knot,Calidris tenuirostris,Great Knot,Calidris tenuirostris,Endangered,Schedule-IV,,Appendix I
Red Knot,Calidris canutus,Red Knot,Calidris canutus,Red Knot,Calidris canutus,Near Threatened,Schedule-IV,,Appendix I
Ruff,Calidris pugnax,Ruff,Calidris pugnax,Ruff,Calidris pugnax,Least Concern,Schedule-IV,,Appendix II
Broad-billed Sandpiper,Calidris falcinellus,Broad-billed Sandpiper,Calidris falcinellus,Broad-billed Sandpiper,Calidris falcinellus,Least Concern,Schedule-IV,,Appendix II
Sharp-tailed Sandpiper,Calidris acuminata,Sharp-tailed Sandpiper,Calidris acuminata,Sharp-tailed Sandpiper,Calidris acuminata,Least Concern,Schedule-IV,,Appendix II
Curlew Sandpiper,Calidris ferruginea,Curlew Sandpiper,Calidris ferruginea,Curlew Sandpiper,Calidris ferruginea,Near Threatened,Schedule-IV,,Appendix II
Temminck's Stint,Calidris temminckii,Temminck's Stint,Calidris temminckii,Temminck's Stint,Calidris temminckii,Least Concern,Schedule-IV,,Appendix II
Long-toed Stint,Calidris subminuta,Long-toed Stint,Calidris subminuta,Long-toed Stint,Calidris subminuta,Least Concern,Schedule-IV,,Appendix II
Spoon-billed Sandpiper,Calidris pygmea,Spoon-billed Sandpiper,Calidris pygmaea,Spoon-billed Sandpiper,Calidris pygmaea,Critically Endangered,Schedule-IV,,Appendix I
Red-necked Stint,Calidris ruficollis,Red-necked Stint,Calidris ruficollis,Red-necked Stint,Calidris ruficollis,Near Threatened,Schedule-IV,,Appendix II
Sanderling,Calidris alba,Sanderling,Calidris alba,Sanderling,Calidris alba,Least Concern,Schedule-IV,,Appendix II
Dunlin,Calidris alpina,Dunlin,Calidris alpina,Dunlin,Calidris alpina,Least Concern,Schedule-IV,,Appendix II
Little Stint,Calidris minuta,Little Stint,Calidris minuta,Little Stint,Calidris minuta,Least Concern,Schedule-IV,,Appendix II
Buff-breasted Sandpiper,Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,Near Threatened,Schedule-IV,,Appendix I
Pectoral Sandpiper,Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,Least Concern,Schedule-IV,,Appendix II
Asian Dowitcher,Limnodromus semipalmatus,Asian Dowitcher,Limnodromus semipalmatus,Asian Dowitcher,Limnodromus semipalmatus,Near Threatened,Schedule-IV,,Appendix II
Long-billed Dowitcher,Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,Least Concern,Schedule-IV,,Appendix II
Jack Snipe,Lymnocryptes minimus,Jack Snipe,Lymnocryptes minimus,Jack Snipe,Lymnocryptes minimus,Least Concern,Schedule-IV,,Appendix II
Eurasian Woodcock,Scolopax rusticola,Eurasian Woodcock,Scolopax rusticola,Eurasian Woodcock,Scolopax rusticola,Least Concern,Schedule-IV,,Appendix II
Solitary Snipe,Gallinago solitaria,Solitary Snipe,Gallinago solitaria,Solitary Snipe,Gallinago solitaria,Least Concern,Schedule-IV,,Appendix II
Wood Snipe,Gallinago nemoricola,Wood Snipe,Gallinago nemoricola,Wood Snipe,Gallinago nemoricola,Vulnerable,Schedule-IV,,Appendix II
Great Snipe,Gallinago media,Great Snipe,Gallinago media,Great Snipe,Gallinago media,Near Threatened,Schedule-IV,,Appendix II
Common Snipe,Gallinago gallinago,Common Snipe,Gallinago gallinago,Common Snipe,Gallinago gallinago,Least Concern,Schedule-IV,,Appendix II
Pin-tailed Snipe,Gallinago stenura,Pintail Snipe,Gallinago stenura,Pin-tailed Snipe,Gallinago stenura,Least Concern,Schedule-IV,,Appendix II
Swinhoe's Snipe,Gallinago megala,Swinhoe's Snipe,Gallinago megala,Swinhoe's Snipe,Gallinago megala,Least Concern,Schedule-IV,,Appendix II
Terek Sandpiper,Xenus cinereus,Terek Sandpiper,Xenus cinereus,Terek Sandpiper,Xenus cinereus,Least Concern,Schedule-IV,,Appendix II
Red-necked Phalarope,Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus,Least Concern,Schedule-IV,,Appendix II
Red Phalarope,Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,Least Concern,Schedule-IV,,Appendix II
Common Sandpiper,Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Least Concern,Schedule-IV,,Appendix II
Green Sandpiper,Tringa ochropus,Green Sandpiper,Tringa ochropus,Green Sandpiper,Tringa ochropus,Least Concern,Schedule-IV,,Appendix II
Gray-tailed Tattler,Tringa brevipes,Grey-tailed Tattler,Tringa brevipes,Gray-tailed Tattler,Tringa brevipes,Near Threatened,Schedule-IV,,Appendix II
Spotted Redshank,Tringa erythropus,Spotted Redshank,Tringa erythropus,Spotted Redshank,Tringa erythropus,Least Concern,Schedule-IV,,Appendix II
Common Greenshank,Tringa nebularia,Common Greenshank,Tringa nebularia,Common Greenshank,Tringa nebularia,Least Concern,Schedule-IV,,Appendix II
Marsh Sandpiper,Tringa stagnatilis,Marsh Sandpiper,Tringa stagnatilis,Marsh Sandpiper,Tringa stagnatilis,Least Concern,Schedule-IV,,Appendix II
Wood Sandpiper,Tringa glareola,Wood Sandpiper,Tringa glareola,Wood Sandpiper,Tringa glareola,Least Concern,Schedule-IV,,Appendix II
Common Redshank,Tringa totanus,Common Redshank,Tringa totanus,Common Redshank,Tringa totanus,Least Concern,Schedule-IV,,Appendix II
Small Buttonquail,Turnix sylvaticus,Small Buttonquail,Turnix sylvaticus,Small Buttonquail,Turnix sylvaticus,Least Concern,Schedule-IV,,
Yellow-legged Buttonquail,Turnix tanki,Yellow-legged Buttonquail,Turnix tanki,Yellow-legged Buttonquail,Turnix tanki,Least Concern,Schedule-IV,,
Barred Buttonquail,Turnix suscitator,Barred Buttonquail,Turnix suscitator,Barred Buttonquail,Turnix suscitator,Least Concern,Schedule-IV,,
Crab-Plover,Dromas ardeola,Crab-plover,Dromas ardeola,Crab-Plover,Dromas ardeola,Least Concern,Schedule-IV,,Appendix II
Cream-colored Courser,Cursorius cursor,Cream-coloured Courser,Cursorius cursor,Cream-colored Courser,Cursorius cursor,Least Concern,Schedule-IV,,
Indian Courser,Cursorius coromandelicus,Indian Courser,Cursorius coromandelicus,Indian Courser,Cursorius coromandelicus,Least Concern,Schedule-IV,,
Jerdon's Courser,Rhinoptilus bitorquatus,Jerdon's Courser,Rhinoptilus bitorquatus,Jerdon's Courser,Rhinoptilus bitorquatus,Critically Endangered,Schedule-I,,
Collared Pratincole,Glareola pratincola,Collared Pratincole,Glareola pratincola,Collared Pratincole,Glareola pratincola,Least Concern,Schedule-IV,,Appendix II
Oriental Pratincole,Glareola maldivarum,Oriental Pratincole,Glareola maldivarum,Oriental Pratincole,Glareola maldivarum,Least Concern,Schedule-IV,,
Small Pratincole,Glareola lactea,Little Pratincole,Glareola lactea,Small Pratincole,Glareola lactea,Least Concern,Schedule-IV,,
South Polar Skua,Stercorarius maccormicki,South Polar Skua,Stercorarius maccormicki,South Polar Skua,Stercorarius maccormicki,Least Concern,Schedule-IV,,Appendix II
Brown Skua,Stercorarius antarcticus,Brown Skua,Stercorarius antarcticus,Brown Skua,Stercorarius antarcticus,Least Concern,Schedule-IV,,Appendix II
Pomarine Jaeger,Stercorarius pomarinus,Pomarine Skua,Stercorarius pomarinus,Pomarine Jaeger,Stercorarius pomarinus,Least Concern,Schedule-IV,,Appendix II
Parasitic Jaeger,Stercorarius parasiticus,Arctic Skua,Stercorarius parasiticus,Parasitic Jaeger,Stercorarius parasiticus,Least Concern,Schedule-IV,,Appendix II
Long-tailed Jaeger,Stercorarius longicaudus,Long-tailed Skua,Stercorarius longicaudus,Long-tailed Jaeger,Stercorarius longicaudus,Least Concern,Schedule-IV,,Appendix II
Black-legged Kittiwake,Rissa tridactyla,Black-legged Kittiwake,Rissa tridactyla,Black-legged Kittiwake,Rissa tridactyla,Vulnerable,Schedule-IV,,
Sabine's Gull,Xema sabini,Sabine's Gull,Xema sabini,Sabine's Gull,Xema sabini,Least Concern,Schedule-IV,,
Slender-billed Gull,Chroicocephalus genei,Slender-billed Gull,Chroicocephalus genei,Slender-billed Gull,Chroicocephalus genei,Least Concern,Schedule-IV,,Appendix II
Black-headed Gull,Chroicocephalus ridibundus,Black-headed Gull,Chroicocephalus ridibundus,Black-headed Gull,Chroicocephalus ridibundus,Least Concern,Schedule-IV,,
Brown-headed Gull,Chroicocephalus brunnicephalus,Brown-headed Gull,Chroicocephalus brunnicephalus,Brown-headed Gull,Chroicocephalus brunnicephalus,Least Concern,Schedule-IV,,
Little Gull,Hydrocoloeus minutus,Little Gull,Hydrocoloeus minutus,Little Gull,Hydrocoloeus minutus,Least Concern,Schedule-IV,,
Franklin's Gull,Leucophaeus pipixcan,Franklin's Gull,Leucophaeus pipixcan,Franklin's Gull,Leucophaeus pipixcan,Least Concern,Schedule-IV,,
White-eyed Gull,Ichthyaetus leucophthalmus,White-eyed Gull,Ichthyaetus leucophthalmus,White-eyed Gull,Ichthyaetus leucophthalmus,Least Concern,Schedule-IV,,Appendix II
Sooty Gull,Ichthyaetus hemprichii,Sooty Gull,Ichthyaetus hemprichii,Sooty Gull,Ichthyaetus hemprichii,Least Concern,Schedule-IV,,Appendix II
Pallas's Gull,Ichthyaetus ichthyaetus,Pallas's Gull,Ichthyaetus ichthyaetus,Pallas's Gull,Ichthyaetus ichthyaetus,Least Concern,Schedule-IV,,
Mew Gull,Larus canus,Mew Gull,Larus canus,Mew Gull,Larus canus,Least Concern,Schedule-IV,,
Herring Gull,Larus argentatus,Mongolian Gull,Larus smithsonianus mongolicus,Herring Gull,Larus argentatus,Least Concern,Schedule-IV,,
