Common Name,Scientific Name,IUCN
Madagascar Pochard,Aythya innotata,CR
Baer's Pochard,Aythya baeri,CR
Ferruginous Duck,Aythya nyroca,NT
New Zealand Scaup,Aythya novaeseelandiae,LC
Ring-necked Duck,Aythya collaris,LC
Tufted Duck,Aythya fuligula,LC
Greater Scaup,Aythya marila,LC
Lesser Scaup,Aythya affinis,LC
Pink-headed Duck,Rhodonessa caryophyllacea,CR
Salvadori's Teal,Salvadorina waigiuensis,VU
Flying Steamerduck,Tachyeres patachonicus,LC
White-headed Steamerduck,Tachyeres leucocephalus,VU
Magellanic Steamerduck,Tachyeres pteneres,LC
Falkland Steamerduck,Tachyeres brachypterus,LC
Crested Duck,Lophonetta specularioides,LC
Spectacled Duck,Speculanas specularis,NT
Brazilian Teal,Amazonetta brasiliensis,LC
Garganey,Spatula querquedula,LC
Hottentot Teal,Spatula hottentota,LC
Puna Teal,Spatula puna,LC
Silver Teal,Spatula versicolor,LC
Red Shoveler,Spatula platalea,LC
Cape Shoveler,Spatula smithii,LC
Australian Shoveler,Spatula rhynchotis,LC
Northern Shoveler,Spatula clypeata,LC
Cinnamon Teal,Spatula cyanoptera,LC
Blue-winged Teal,Spatula discors,LC
Baikal Teal,Sibirionetta formosa,LC
Falcated Duck,Mareca falcata,NT
Gadwall,Mareca strepera,LC
Eurasian Wigeon,Mareca penelope,LC
American Wigeon,Mareca americana,LC
Chiloe Wigeon,Mareca sibilatrix,LC
African Black Duck,Anas sparsa,LC
Yellow-billed Duck,Anas undulata,LC
Meller's Duck,Anas melleri,EN
Pacific Black Duck,Anas superciliosa,LC
Philippine Duck,Anas luzonica,VU
Chinese Spot-billed Duck,Anas zonorhyncha,LC
Indian Spot-billed Duck,Anas poecilorhyncha,LC
Laysan Duck,Anas laysanensis,CR
Mallard,Anas platyrhynchos,LC
American Black Duck,Anas rubripes,LC
Mottled Duck,Anas fulvigula,LC
Hawaiian Duck,Anas wyvilliana,EN
Mauritius Duck,Anas theodori,EX
Andaman Teal,Anas albogularis,VU
Sunda Teal,Anas gibberifrons,NT
Grey Teal,Anas gracilis,LC
Chestnut Teal,Anas castanea,LC
Brown Teal,Anas chlorotis,NT
Auckland Teal,Anas aucklandica,VU
Campbell Teal,Anas nesiotis,EN
Madagascar Teal,Anas bernieri,EN
Cape Teal,Anas capensis,LC
White-cheeked Pintail,Anas bahamensis,LC
Red-billed Teal,Anas erythrorhyncha,LC
Northern Pintail,Anas acuta,LC
Southern Pintail,Anas eatoni,VU
Amsterdam Duck,Anas marecula,EX
Yellow-billed Pintail,Anas georgica,LC
Common Teal,Anas crecca,LC
Andean Teal,Anas andium,LC
Yellow-billed Teal,Anas flavirostris,LC
,Anas diazi,NR
,Anas carolinensis,NR
,Anas poecilorhyncha,NR
,Anas flavirostris,NR
,Anas oustaleti,NR
,Anas gibberifrons,NR
,Anas aucklandica,NR
,Anas crecca,NR
Little Grebe,Tachybaptus ruficollis,LC
Australasian Grebe,Tachybaptus novaehollandiae,LC
