English Name,Scientific Name,BLI,GEN
Yellow-rumped Honeyguide,Indicator xanthonotus,Indicator xanthonotus,8.4
Eurasian Wryneck,Jynx torquilla,Jynx torquilla,6.3
Speckled Piculet,Picumnus innominatus,Picumnus innominatus,7.2
White-browed Piculet,Sasia ochracea,Sasia ochracea,6.9
Heart-spotted Woodpecker,Hemicircus canente,Hemicircus canente,9.6
Brown-capped Pygmy Woodpecker,Dendrocopos nanus,Picoides nanus,8.1
Grey-capped Pygmy Woodpecker,Dendrocopos canicapillus,Picoides canicapillus,7.2
Yellow-fronted Pied Woodpecker,Leiopicus mahrattensis,Leiopicus mahrattensis,8.1
Brown-fronted Pied Woodpecker,Dendrocopos auriceps,Leiopicus auriceps,7.5
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Dendrocopos hyperythrus,8.4
Fulvous-breasted Pied Woodpecker,Dendrocopos macei,Dendrocopos macei,8.4
Darjeeling Pied Woodpecker,Dendrocopos darjellensis,Dendrocopos darjellensis,9.3
Himalayan Pied Woodpecker,Dendrocopos himalayensis,Dendrocopos himalayensis,9
Bay Woodpecker,Blythipicus pyrrhotis,Blythipicus pyrrhotis,14.7
Greater Golden-backed Woodpecker,Chrysocolaptes guttacristatus,Chrysocolaptes guttacristatus,9
White-naped Woodpecker,Chrysocolaptes festivus,Chrysocolaptes festivus,16.5
Rufous Woodpecker,Micropternus brachyurus,Micropternus brachyurus,13.5
Pale-headed Woodpecker,Gecinulus grantia,Gecinulus grantia,12.9
Himalayan Golden-backed Woodpecker,Dinopium shorii,Dinopium shorii,13.8
Common Golden-backed Woodpecker,Dinopium javanense,Dinopium javanense,12.9
Lesser Golden-backed Woodpecker,Dinopium benghalense,Dinopium benghalense,13.8
Lesser Yellow-naped Woodpecker,Picus chlorolophus,Picus chlorolophus,9.3
Streak-throated Woodpecker,Picus xanthopygaeus,Picus xanthopygaeus,9.3
Scaly-bellied Woodpecker,Picus squamatus,Picus squamatus,9.3
Grey-headed Woodpecker,Picus canus,Picus guerini,7.5
Greater Yellow-naped Woodpecker,Chrysophlegma flavinucha,Chrysophlegma flavinucha,18.9
Great Slaty Woodpecker,Mulleripicus pulverulentus,Mulleripicus pulverulentus,17.1
White-bellied Woodpecker,Dryocopus javensis,Dryocopus javensis,12.6
Andaman Woodpecker,Dryocopus hodgei,Dryocopus hodgei,12.6
Collared Falconet,Microhierax caerulescens,Microhierax caerulescens,7.8
Common Kestrel,Falco tinnunculus,Falco tinnunculus,13.2
Red-necked Falcon,Falco chicquera,Falco chicquera,9
Amur Falcon,Falco amurensis,Falco amurensis,8.4
Eurasian Hobby,Falco subbuteo,Falco subbuteo,14.1
Laggar Falcon,Falco jugger,Falco jugger,14.1
Peregrine Falcon,Falco peregrinus,Falco peregrinus,17.4
Alexandrine Parakeet,Psittacula eupatria,Psittacula eupatria,27
Rose-ringed Parakeet,Psittacula krameri,Psittacula krameri,29.7
Slaty-headed Parakeet,Psittacula himalayana,Psittacula himalayana,20.7
Plum-headed Parakeet,Psittacula cyanocephala,Psittacula cyanocephala,19.5
Malabar Parakeet,Psittacula columboides,Psittacula columboides,18
Red-breasted Parakeet,Psittacula alexandri,Psittacula alexandri,22.2
Nicobar Parakeet,Psittacula caniceps,Psittacula caniceps,22.8
Long-tailed Parakeet,Psittacula longicauda,Psittacula longicauda,21
Vernal Hanging Parrot,Loriculus vernalis,Loriculus vernalis,11.4
Long-tailed Broadbill,Psarisomus dalhousiae,Psarisomus dalhousiae,8.4
Blue-naped Pitta,Hydrornis nipalensis,Hydrornis nipalensis,12.9
Indian Pitta,Pitta brachyura,Pitta brachyura,7.8
Malabar Woodshrike,Tephrodornis sylvicola,Tephrodornis sylvicola,10.8
Large Woodshrike,Tephrodornis virgatus,Tephrodornis virgatus,10.8
Common Woodshrike,Tephrodornis pondicerianus,Tephrodornis pondicerianus,7.8
Bar-winged Flycatcher-shrike,Hemipus picatus,Hemipus picatus,7.2
Ashy Woodswallow,Artamus fuscus,Artamus fuscus,11.4
Common Iora,Aegithina tiphia,Aegithina tiphia,7.2
Marshall's Iora,Aegithina nigrolutea,Aegithina nigrolutea,7.8
White-bellied Minivet,Pericrocotus erythropygius,Pericrocotus erythropygius,7.2
Small Minivet,Pericrocotus cinnamomeus,Pericrocotus cinnamomeus,6.9
Short-billed Minivet,Pericrocotus brevirostris,Pericrocotus brevirostris,7.2
Long-tailed Minivet,Pericrocotus ethologus,Pericrocotus ethologus,7.2
Orange Minivet,Pericrocotus flammeus,Pericrocotus flammeus,8.7
Scarlet Minivet,Pericrocotus speciosus,Pericrocotus flammeus,8.7
Large Cuckooshrike,Coracina javensis,Coracina javensis,12.9
Andaman Cuckooshrike,Coracina dobsoni,Coracina dobsoni,7.2
Black-winged Cuckooshrike,Lalage melaschistos,Lalage melaschistos,8.4
Black-headed Cuckooshrike,Lalage melanoptera,Lalage melanoptera,8.4
Isabelline Shrike,Lanius isabellinus,Lanius isabellinus,5.7
Brown Shrike,Lanius cristatus,Lanius cristatus,6
Bay-backed Shrike,Lanius vittatus,Lanius vittatus,6
Long-tailed Shrike,Lanius schach,Lanius schach,7.8
